wall_ts,event,tick,symbol,side,qty,price,order_id,tag,reason,message,pos_C,avg_C,realized_pnl,unrealized_pnl,total_pnl,cash,session_mtm,thesis,signal_thesis,signal_side,signal_target,signal_strength,signal_fresh,fair,c_bid,c_ask,c_mid,c_spread,eps,earnings_delta,cpi_surprise,cpi_bias_bp,cpi_actual,cpi_forecast,macro_score,macro_target,macro_direction,earnings_trend,news_kind,news_subtype,news_asset,rate_bp,market_rate_bp,q_hike,q_hold,q_cut,pm_pos_hike,pm_pos_hold,pm_pos_cut,mark_source,kill_switch,raw_news
1775864044.869269,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,,,,,,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,
1775864044.870858,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,,896,900,898.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,
1775864044.871671,anchor_init,0,,,,,,,,default_eps,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,898.0000,896,900,898.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,4.7577,4.7577,0.307193,0.575924,0.116883,0,0,0,flat,False,
1775864046.804175,news_ignored,2550,,,,,,,non_signal_news,petition new_signatures=0 cumulative=0,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,898.0789,899,903,901.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,structured,petition,,4.6750,4.6750,0.303000,0.581000,0.116000,0,0,0,flat,False,"{'timestamp': 2550, 'kind': 'structured', 'new_data': {'new_signatures': 0, 'cumulative': 0, 'asset': '', 'structured_subtype': 'petition'}}"
1775864047.908559,heartbeat,2550,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,897.5069,901,905,903.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,5.2750,5.2750,0.319000,0.573000,0.108000,0,0,0,flat,False,
1775864050.928001,heartbeat,2550,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,899.0315,900,904,902.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,3.6768,3.6768,0.277639,0.591796,0.130565,0,0,0,flat,False,
1775864053.947843,heartbeat,2550,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,898.4009,903,908,905.5000,5,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,4.3375,4.3375,0.292500,0.588500,0.119000,0,0,0,flat,False,
1775864056.968429,heartbeat,2550,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,898.7701,900,904,902.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,3.9507,3.9507,0.280825,0.596376,0.122798,0,0,0,flat,False,
1775864059.988428,heartbeat,2550,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,896.5782,896,900,898.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,6.2500,6.2500,0.341000,0.568000,0.091000,0,0,0,flat,False,
1775864063.009792,heartbeat,2550,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,896.9296,895,899,897.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,5.8809,5.8809,0.331331,0.572573,0.096096,0,0,0,flat,False,
1775864063.036634,cpi_eval,2631,,,0,,,,no_actual_forecast,no actual/forecast; score=+0.00 headline=Fed keeps options open as inflation and growth signals conflict.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,897.0077,895,899,897.0000,4,2.000000,0.000000,0.000000,0.0000,,,0.0000,0,,+0.000000,unstructured,,,5.7989,5.7989,0.329517,0.572922,0.097561,0,0,0,flat,False,"{'timestamp': 2631, 'kind': 'unstructured', 'new_data': {'content': 'Fed keeps options open as inflation and growth signals conflict.'}}"
1775864063.036879,macro_eval,2631,,,0,,,,below_threshold,score=+0.00 headline=Fed keeps options open as inflation and growth signals conflict.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,897.0077,895,899,897.0000,4,2.000000,0.000000,0.000000,0.0000,,,0.0000,0,,+0.000000,unstructured,,,5.7989,5.7989,0.329517,0.572922,0.097561,0,0,0,flat,False,"{'timestamp': 2631, 'kind': 'unstructured', 'new_data': {'content': 'Fed keeps options open as inflation and growth signals conflict.'}}"
1775864063.037130,news_ignored,2631,,,,,,,weak_macro_news,score=+0.00 headline=Fed keeps options open as inflation and growth signals conflict.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,897.0077,895,899,897.0000,4,2.000000,0.000000,0.000000,0.0000,,,0.0000,0,,+0.000000,unstructured,,,5.7989,5.7989,0.329517,0.572922,0.097561,0,0,0,flat,False,"{'timestamp': 2631, 'kind': 'unstructured', 'new_data': {'content': 'Fed keeps options open as inflation and growth signals conflict.'}}"
1775864066.009599,heartbeat,2631,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,900.1347,911,913,912.0000,2,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,2.5224,2.5224,0.245527,0.609841,0.144632,0,0,0,flat,False,
1775864069.009789,heartbeat,2631,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,901.4043,912,916,914.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,1.1958,1.1958,0.214748,0.618336,0.166916,0,0,0,flat,False,
1775864072.010076,heartbeat,2631,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,901.9037,916,918,917.0000,2,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.6747,0.6747,0.200900,0.625187,0.173913,0,0,0,flat,False,
1775864074.812975,anchor_init,2690,,,,,,,,real_earnings,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,915.5000,915,916,915.5000,1,1.880365,0.000000,0.000000,0.0000,,,,,,,,,,2.1625,2.1625,0.232000,0.622500,0.145500,0,0,0,flat,False,
1775864074.813384,earnings_baseline,2690,,,,,,,,eps=1.880365,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,915.5000,915,916,915.5000,1,1.880365,0.000000,0.000000,0.0000,,,,,,,,,,2.1625,2.1625,0.232000,0.622500,0.145500,0,0,0,flat,False,
1775864075.010161,heartbeat,2690,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,915.5760,914,916,915.0000,2,1.880365,0.000000,0.000000,0.0000,,,,,,,,,,2.0844,2.0844,0.230654,0.622067,0.147279,0,0,0,flat,False,
1775864077.834389,startup,2690,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,916.2904,922,927,924.5000,5,1.880365,0.000000,0.000000,0.0000,,,,,,,,,,1.3500,1.3500,0.212500,0.629000,0.158500,0,0,0,flat,False,
1775864078.010353,heartbeat,2690,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,916.1816,922,924,923.0000,2,1.880365,0.000000,0.000000,0.0000,,,,,,,,,,1.4618,1.4618,0.214893,0.628686,0.156422,0,0,0,flat,False,
1775864081.010566,heartbeat,2690,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,915.4138,920,911,915.5000,-9,1.880365,0.000000,0.000000,0.0000,,,,,,,,,,2.2511,2.2511,0.231616,0.626813,0.141571,0,0,0,flat,False,
1775864084.011008,heartbeat,2690,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,913.6244,908,912,910.0000,4,1.880365,0.000000,0.000000,0.0000,,,,,,,,,,4.0939,4.0939,0.275587,0.612581,0.111832,0,0,0,flat,False,
