wall_ts,event,tick,symbol,side,qty,price,order_id,tag,reason,message,pos_C,avg_C,realized_pnl,unrealized_pnl,total_pnl,cash,session_mtm,thesis,signal_thesis,signal_side,signal_target,signal_strength,signal_fresh,fair,c_bid,c_ask,c_mid,c_spread,eps,earnings_delta,cpi_surprise,cpi_bias_bp,cpi_actual,cpi_forecast,macro_score,macro_target,macro_direction,earnings_trend,news_kind,news_subtype,news_asset,rate_bp,market_rate_bp,q_hike,q_hold,q_cut,pm_pos_hike,pm_pos_hold,pm_pos_cut,mark_source,kill_switch,shock_mode,shock_target,shock_original_target,shock_direction,shock_reference_mid,shock_edge,shock_fair_before,shock_fair_after,shock_overshoot_stage,shock_decay_steps,shock_equilibrium,shock_intent,raw_news
1775872078.423446,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,,,,,,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,IDLE,,,,,,,,,,False,,
1775872078.424816,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,,914,920,917.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,IDLE,,,,,,,,,,False,,
1775872078.425438,anchor_init,0,,,,,,,,default_eps,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,917.0000,914,920,917.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,11.8750,11.8750,0.577000,0.321000,0.102000,0,0,0,flat,False,IDLE,,,,,,,,,,False,,
1775872081.431373,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,917.1818,911,917,914.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,11.6883,11.6883,0.570430,0.326673,0.102897,0,0,0,flat,False,IDLE,,,,,,,,,,False,,
1775872084.446606,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,916.7573,906,912,909.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,12.1242,12.1242,0.583166,0.318637,0.098196,0,0,0,flat,False,IDLE,,,,,,,,,,False,,
1775872087.455553,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,916.4159,906,912,909.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,12.4750,12.4750,0.592000,0.315000,0.093000,0,0,0,flat,False,IDLE,,,,,,,,,,False,,
1775872090.456270,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,915.6878,903,909,906.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,13.2236,13.2236,0.613772,0.301397,0.084830,0,0,0,flat,False,IDLE,,,,,,,,,,False,,
1775872090.654913,news_ignored,300,,,,,,,non_signal_news,petition new_signatures=0 cumulative=0,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,915.5948,902,908,905.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,structured,petition,,13.3192,13.3192,0.616808,0.299150,0.084042,0,0,0,flat,False,IDLE,,,,,,,,,,False,,"{'timestamp': 300, 'kind': 'structured', 'new_data': {'new_signatures': 0, 'cumulative': 0, 'asset': '', 'structured_subtype': 'petition'}}"
1775872093.456889,heartbeat,300,,,,,,,,,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,915.0547,900,906,903.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,13.8750,13.8750,0.633000,0.289000,0.078000,0,0,0,flat,False,IDLE,,,,,,,,,,False,,
1775872096.458121,heartbeat,300,,,,,,,,,0,,0.00,0.00,0.00,-800.00,0.00,flat,,,,,,914.2393,903,907,905.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,14.7147,14.7147,0.656657,0.275275,0.068068,0,0,0,flat,False,IDLE,,,,,,,,,,False,,
