session_id,time_ms,inventory
A_research_2026-04-04_18-34-16_live_round,0.0,0
A_research_2026-04-04_18-34-16_live_round,23.024916,-12
A_research_2026-04-04_18-34-16_live_round,162.930458,2
A_research_2026-04-04_18-34-16_live_round,163.142583,14
A_research_2026-04-04_18-34-16_live_round,163.302291,25
A_research_2026-04-04_18-34-16_live_round,163.450458,35
A_research_2026-04-04_18-34-16_live_round,163.561125,44
A_research_2026-04-04_18-34-16_live_round,163.674375,52
A_research_2026-04-04_18-34-16_live_round,163.774625,59
A_research_2026-04-04_18-34-16_live_round,163.987,66
A_research_2026-04-04_18-34-16_live_round,164.484666,78
A_research_2026-04-04_18-34-16_live_round,165.129166,80
A_research_2026-04-04_18-34-16_live_round,447.154,78
A_research_2026-04-04_18-34-16_live_round,447.918625,80
A_research_2026-04-04_18-34-16_live_round,826.0055,78
A_research_2026-04-04_18-34-16_live_round,827.53675,80
A_research_2026-04-04_18-34-16_live_round,838.543958,78
A_research_2026-04-04_18-34-16_live_round,838.88725,80
A_research_2026-04-04_18-34-16_live_round,1229.681166,72
A_research_2026-04-04_18-34-16_live_round,1230.305416,64
A_research_2026-04-04_18-34-16_live_round,1230.670708,56
A_research_2026-04-04_18-34-16_live_round,1231.047166,47
A_research_2026-04-04_18-34-16_live_round,1231.406375,37
A_research_2026-04-04_18-34-16_live_round,1231.74825,25
A_research_2026-04-04_18-34-16_live_round,1232.082958,12
A_research_2026-04-04_18-34-16_live_round,1232.423458,-2
A_research_2026-04-04_18-34-16_live_round,1497.996041,13
A_research_2026-04-04_18-34-16_live_round,1569.916416,24
A_research_2026-04-04_18-34-16_live_round,1633.039583,34
A_research_2026-04-04_18-34-16_live_round,1634.459625,43
A_research_2026-04-04_18-34-16_live_round,1635.558333,51
A_research_2026-04-04_18-34-16_live_round,1636.249791,58
A_research_2026-04-04_18-34-16_live_round,1636.833166,65
A_research_2026-04-04_18-34-16_live_round,1637.451916,71
A_research_2026-04-04_18-34-16_live_round,1637.950041,77
A_research_2026-04-04_18-34-16_live_round,1638.442916,80
A_research_2026-04-04_18-34-16_live_round,1645.982375,74
A_research_2026-04-04_18-34-16_live_round,1646.352916,79
A_research_2026-04-04_18-34-16_live_round,1646.770958,80
A_research_2026-04-04_18-34-16_live_round,2038.484458,78
A_research_2026-04-04_18-34-16_live_round,2039.447791,80
A_research_2026-04-04_18-34-16_live_round,2437.692833,78
A_research_2026-04-04_18-34-16_live_round,2438.79375,80
A_research_2026-04-04_18-34-16_live_round,2652.200958,72
A_research_2026-04-04_18-34-16_live_round,2652.631083,64
A_research_2026-04-04_18-34-16_live_round,2653.039541,56
A_research_2026-04-04_18-34-16_live_round,2653.463208,47
A_research_2026-04-04_18-34-16_live_round,2653.8795,37
A_research_2026-04-04_18-34-16_live_round,2654.292958,25
A_research_2026-04-04_18-34-16_live_round,2654.755,12
A_research_2026-04-04_18-34-16_live_round,2655.211125,-2
A_research_2026-04-04_18-34-16_live_round,3071.344041,13
A_research_2026-04-04_18-34-16_live_round,3260.817625,1
A_research_2026-04-04_18-34-16_live_round,3458.464,13
A_research_2026-04-04_18-34-16_live_round,3465.153208,24
A_research_2026-04-04_18-34-16_live_round,3644.857291,11
A_research_2026-04-04_18-34-16_live_round,3646.200416,-3
A_research_2026-04-04_18-34-16_live_round,3866.228625,-15
A_research_2026-04-04_18-34-16_live_round,4129.670666,-1
A_research_2026-04-04_18-34-16_live_round,4147.35,14
A_research_2026-04-04_18-34-16_live_round,4261.649125,2
A_research_2026-04-04_18-34-16_live_round,4467.837583,-13
A_research_2026-04-04_18-34-16_live_round,4670.300375,-1
A_research_2026-04-04_18-34-16_live_round,4872.204833,14
A_research_2026-04-04_18-34-16_live_round,5071.626666,0
A_research_2026-04-04_18-34-16_live_round,5260.89025,12
A_research_2026-04-04_18-34-16_live_round,5461.118708,-2
A_research_2026-04-04_18-34-16_live_round,5483.684416,9
A_research_2026-04-04_18-34-16_live_round,5707.06175,-3
A_research_2026-04-04_18-34-16_live_round,5873.860333,-15
A_research_2026-04-04_18-34-16_live_round,6075.382833,-1
A_research_2026-04-04_18-34-16_live_round,6083.642625,-12
A_research_2026-04-04_18-34-16_live_round,6283.86675,-23
A_research_2026-04-04_18-34-16_live_round,6459.910583,-10
A_research_2026-04-04_18-34-16_live_round,6460.90125,4
A_research_2026-04-04_18-34-16_live_round,6749.627458,-11
A_research_2026-04-04_18-34-16_live_round,6770.130833,-22
A_research_2026-04-04_18-34-16_live_round,6881.009291,-10
A_research_2026-04-04_18-34-16_live_round,6881.6475,4
A_research_2026-04-04_18-34-16_live_round,7069.811416,-11
A_research_2026-04-04_18-34-16_live_round,7092.586958,-22
A_research_2026-04-04_18-34-16_live_round,7269.359708,-9
A_research_2026-04-04_18-34-16_live_round,7270.090083,5
A_research_2026-04-04_18-34-16_live_round,7471.199166,-10
A_research_2026-04-04_18-34-16_live_round,7488.36675,2
A_research_2026-04-04_18-34-16_live_round,7808.116333,1
A_research_2026-04-04_18-34-16_live_round,7828.10325,13
A_research_2026-04-04_18-34-16_live_round,7866.436,24
A_research_2026-04-04_18-34-16_live_round,7877.550041,34
A_research_2026-04-04_18-34-16_live_round,7878.602708,43
A_research_2026-04-04_18-34-16_live_round,7879.569541,51
A_research_2026-04-04_18-34-16_live_round,7880.582,58
A_research_2026-04-04_18-34-16_live_round,7881.543208,65
A_research_2026-04-04_18-34-16_live_round,7882.429875,71
A_research_2026-04-04_18-34-16_live_round,7883.248708,77
A_research_2026-04-04_18-34-16_live_round,7884.077208,80
A_research_2026-04-04_18-34-16_live_round,8079.613083,78
A_research_2026-04-04_18-34-16_live_round,8082.973333,80
A_research_2026-04-04_18-34-16_live_round,8331.437208,78
A_research_2026-04-04_18-34-16_live_round,8332.418375,80
A_research_2026-04-04_18-34-16_live_round,8347.469708,78
A_research_2026-04-04_18-34-16_live_round,8348.14425,80
A_research_2026-04-04_18-34-16_live_round,8683.321333,78
A_research_2026-04-04_18-34-16_live_round,8684.420416,80
A_research_2026-04-04_18-34-16_live_round,9076.393625,72
A_research_2026-04-04_18-34-16_live_round,9078.146625,64
A_research_2026-04-04_18-34-16_live_round,9079.673291,56
A_research_2026-04-04_18-34-16_live_round,9081.118875,47
A_research_2026-04-04_18-34-16_live_round,9082.800458,37
A_research_2026-04-04_18-34-16_live_round,9084.110375,25
A_research_2026-04-04_18-34-16_live_round,9085.379125,12
A_research_2026-04-04_18-34-16_live_round,9086.441916,-2
A_research_2026-04-04_18-34-16_live_round,9388.055875,13
A_research_2026-04-04_18-34-16_live_round,9388.998583,-1
A_research_2026-04-04_18-34-16_live_round,9414.42125,10
A_research_2026-04-04_18-34-16_live_round,9496.654291,-2
A_research_2026-04-04_18-34-16_live_round,9498.175458,-14
A_research_2026-04-04_18-34-16_live_round,9688.587416,0
A_research_2026-04-04_18-34-16_live_round,9707.910666,12
A_research_2026-04-04_18-34-16_live_round,9884.397791,-2
A_research_2026-04-04_18-34-16_live_round,10090.981,13
A_research_2026-04-04_18-34-16_live_round,10120.863875,24
A_research_2026-04-04_18-34-16_live_round,10290.463,11
A_research_2026-04-04_18-34-16_live_round,10292.782875,-3
A_research_2026-04-04_18-34-16_live_round,10497.618333,12
A_research_2026-04-04_18-34-16_live_round,10520.365375,0
A_research_2026-04-04_18-34-16_live_round,10968.131208,12
A_research_2026-04-04_18-34-16_live_round,10977.256375,23
A_research_2026-04-04_18-34-16_live_round,11112.746708,11
A_research_2026-04-04_18-34-16_live_round,11113.601708,-3
A_research_2026-04-04_18-34-16_live_round,11301.964791,12
A_research_2026-04-04_18-34-16_live_round,11501.87075,-2
A_research_2026-04-04_18-34-16_live_round,11528.322833,9
A_research_2026-04-04_18-34-16_live_round,11715.417416,-3
A_research_2026-04-04_18-34-16_live_round,11919.53775,-15
A_research_2026-04-04_18-34-16_live_round,12102.924041,-1
A_research_2026-04-04_18-34-16_live_round,12132.430875,-12
A_research_2026-04-04_18-34-16_live_round,12330.064041,-23
A_research_2026-04-04_18-34-16_live_round,12521.33875,-10
A_research_2026-04-04_18-34-16_live_round,12522.35975,4
A_research_2026-04-04_18-34-16_live_round,12696.931375,-11
A_research_2026-04-04_18-34-16_live_round,12891.756791,3
A_research_2026-04-04_18-34-16_live_round,12929.995,-8
A_research_2026-04-04_18-34-16_live_round,13294.232375,6
A_research_2026-04-04_18-34-16_live_round,13295.816958,-8
A_research_2026-04-04_18-34-16_live_round,13445.730541,3
A_research_2026-04-04_18-34-16_live_round,13447.655791,15
A_research_2026-04-04_18-34-16_live_round,13552.181291,26
A_research_2026-04-04_18-34-16_live_round,13567.738791,36
A_research_2026-04-04_18-34-16_live_round,13568.8275,45
A_research_2026-04-04_18-34-16_live_round,13569.986166,53
A_research_2026-04-04_18-34-16_live_round,13571.039291,60
A_research_2026-04-04_18-34-16_live_round,13572.084166,67
A_research_2026-04-04_18-34-16_live_round,13573.057041,73
A_research_2026-04-04_18-34-16_live_round,13573.995666,78
A_research_2026-04-04_18-34-16_live_round,13574.947416,80
A_research_2026-04-04_18-34-16_live_round,13896.843125,78
A_research_2026-04-04_18-34-16_live_round,13902.899083,80
A_research_2026-04-04_18-34-16_live_round,14302.410833,78
A_research_2026-04-04_18-34-16_live_round,14303.675083,80
A_research_2026-04-04_18-34-16_live_round,14325.11975,78
A_research_2026-04-04_18-34-16_live_round,14326.198708,80
A_research_2026-04-04_18-34-16_live_round,14710.366625,72
A_research_2026-04-04_18-34-16_live_round,14714.792625,64
A_research_2026-04-04_18-34-16_live_round,14717.428708,56
A_research_2026-04-04_18-34-16_live_round,14719.484416,47
A_research_2026-04-04_18-34-16_live_round,14720.551875,37
A_research_2026-04-04_18-34-16_live_round,14721.560958,25
A_research_2026-04-04_18-34-16_live_round,14722.559791,12
A_research_2026-04-04_18-34-16_live_round,14723.59775,-2
A_research_2026-04-04_18-34-16_live_round,15178.502041,-14
A_research_2026-04-04_18-34-16_live_round,15243.933083,1
A_research_2026-04-04_18-34-16_live_round,15247.046916,13
A_research_2026-04-04_18-34-16_live_round,15313.307916,24
A_research_2026-04-04_18-34-16_live_round,15324.198333,34
A_research_2026-04-04_18-34-16_live_round,15327.96925,43
A_research_2026-04-04_18-34-16_live_round,15329.047666,51
A_research_2026-04-04_18-34-16_live_round,15330.181125,58
A_research_2026-04-04_18-34-16_live_round,15331.246625,65
A_research_2026-04-04_18-34-16_live_round,15332.299291,71
A_research_2026-04-04_18-34-16_live_round,15333.505666,77
A_research_2026-04-04_18-34-16_live_round,15334.608916,80
A_research_2026-04-04_18-34-16_live_round,15510.386,78
A_research_2026-04-04_18-34-16_live_round,15514.193875,80
A_research_2026-04-04_18-34-16_live_round,15747.999083,78
A_research_2026-04-04_18-34-16_live_round,15749.071666,80
A_research_2026-04-04_18-34-16_live_round,16047.928958,72
A_research_2026-04-04_18-34-16_live_round,16068.62725,70
A_research_2026-04-04_18-34-16_live_round,16175.140875,76
A_research_2026-04-04_18-34-16_live_round,16194.601833,80
A_research_2026-04-04_18-34-16_live_round,16322.310041,78
A_research_2026-04-04_18-34-16_live_round,16324.485791,80
A_research_2026-04-04_18-34-16_live_round,16725.399583,78
A_research_2026-04-04_18-34-16_live_round,16731.549583,80
A_research_2026-04-04_18-34-16_live_round,16959.508833,78
A_research_2026-04-04_18-34-16_live_round,16960.674458,80
A_research_2026-04-04_18-34-16_live_round,17324.234541,72
A_research_2026-04-04_18-34-16_live_round,17330.44375,64
A_research_2026-04-04_18-34-16_live_round,17334.14675,56
A_research_2026-04-04_18-34-16_live_round,17336.475041,47
A_research_2026-04-04_18-34-16_live_round,17337.660833,37
A_research_2026-04-04_18-34-16_live_round,17338.802416,25
A_research_2026-04-04_18-34-16_live_round,17339.983666,12
A_research_2026-04-04_18-34-16_live_round,17341.128458,-2
A_research_2026-04-04_18-34-16_live_round,17958.73475,13
A_research_2026-04-04_18-34-16_live_round,17961.2185,1
A_research_2026-04-04_18-34-16_live_round,18062.412041,13
A_research_2026-04-04_18-34-16_live_round,18122.855583,24
A_research_2026-04-04_18-34-16_live_round,18132.759916,34
A_research_2026-04-04_18-34-16_live_round,18138.188125,43
A_research_2026-04-04_18-34-16_live_round,18141.278166,51
A_research_2026-04-04_18-34-16_live_round,18144.130583,58
A_research_2026-04-04_18-34-16_live_round,18145.319541,65
A_research_2026-04-04_18-34-16_live_round,18146.507375,71
A_research_2026-04-04_18-34-16_live_round,18147.6895,77
A_research_2026-04-04_18-34-16_live_round,18148.897875,80
A_research_2026-04-04_18-34-16_live_round,18335.568458,78
A_research_2026-04-04_18-34-16_live_round,18341.807541,80
A_research_2026-04-04_18-34-16_live_round,18562.085791,78
A_research_2026-04-04_18-34-16_live_round,18563.322833,80
A_research_2026-04-04_18-34-16_live_round,18835.458625,78
A_research_2026-04-04_18-34-16_live_round,18836.747875,80
A_research_2026-04-04_18-34-16_live_round,19133.648375,72
A_research_2026-04-04_18-34-16_live_round,19139.235541,64
A_research_2026-04-04_18-34-16_live_round,19142.70925,56
A_research_2026-04-04_18-34-16_live_round,19145.236375,47
A_research_2026-04-04_18-34-16_live_round,19146.945833,37
A_research_2026-04-04_18-34-16_live_round,19148.184083,25
A_research_2026-04-04_18-34-16_live_round,19149.471583,12
A_research_2026-04-04_18-34-16_live_round,19150.875291,-2
A_research_2026-04-04_18-34-16_live_round,19385.441708,13
A_research_2026-04-04_18-34-16_live_round,19529.979541,-1
A_research_2026-04-04_18-34-16_live_round,19577.9045,-13
A_research_2026-04-04_18-34-16_live_round,19678.402833,1
A_research_2026-04-04_18-34-16_live_round,19727.545833,13
A_research_2026-04-04_18-34-16_live_round,19735.86525,24
A_research_2026-04-04_18-34-16_live_round,19740.369625,34
A_research_2026-04-04_18-34-16_live_round,19743.931458,43
A_research_2026-04-04_18-34-16_live_round,19746.539166,51
A_research_2026-04-04_18-34-16_live_round,19748.733375,58
A_research_2026-04-04_18-34-16_live_round,19751.423083,65
A_research_2026-04-04_18-34-16_live_round,19753.619583,71
A_research_2026-04-04_18-34-16_live_round,19754.903958,77
A_research_2026-04-04_18-34-16_live_round,19756.180583,80
A_research_2026-04-04_18-34-16_live_round,19777.159583,75
A_research_2026-04-04_18-34-16_live_round,19778.494916,80
A_research_2026-04-04_18-34-16_live_round,20133.345708,78
A_research_2026-04-04_18-34-16_live_round,20135.165041,80
A_research_2026-04-04_18-34-16_live_round,20397.765,78
A_research_2026-04-04_18-34-16_live_round,20399.194375,80
A_research_2026-04-04_18-34-16_live_round,20469.864208,72
A_research_2026-04-04_18-34-16_live_round,20478.118791,78
A_research_2026-04-04_18-34-16_live_round,20530.696708,80
A_research_2026-04-04_18-34-16_live_round,20578.726166,78
A_research_2026-04-04_18-34-16_live_round,20580.07075,80
A_research_2026-04-04_18-34-16_live_round,20932.401375,78
A_research_2026-04-04_18-34-16_live_round,20946.640375,80
A_research_2026-04-04_18-34-16_live_round,20982.504458,78
A_research_2026-04-04_18-34-16_live_round,20983.86075,80
A_research_2026-04-04_18-34-16_live_round,21463.342083,78
A_research_2026-04-04_18-34-16_live_round,21464.858,80
A_research_2026-04-04_18-34-16_live_round,21523.068541,72
A_research_2026-04-04_18-34-16_live_round,21525.476708,78
A_research_2026-04-04_18-34-16_live_round,21525.556041,80
A_research_2026-04-04_18-34-16_live_round,21525.624958,72
A_research_2026-04-04_18-34-16_live_round,21525.692958,78
A_research_2026-04-04_18-34-16_live_round,21525.759875,80
A_research_2026-04-04_18-34-16_live_round,21525.826166,72
A_research_2026-04-04_18-34-16_live_round,21525.893666,78
A_research_2026-04-04_18-34-16_live_round,21527.288666,80
A_research_2026-04-04_18-34-16_live_round,21529.187416,72
A_research_2026-04-04_18-34-16_live_round,21536.291958,78
A_research_2026-04-04_18-34-16_live_round,21538.740958,80
