base_half_spread_px,inventory_penalty,vol_widening,aggressive_edge_px,requote_cooldown_ms,avg_pnl,median_pnl,stdev_pnl,avg_max_drawdown,passive_fill_count,aggressive_fill_count
2,0.3,12.0,7,150,89519.66666666667,123648.5,63461.734913428125,16069.333333333334,3604,2528
2,0.3,24.0,7,150,88561.66666666667,120142.5,63191.42392673937,15677.666666666666,3014,2387
2,0.3,18.0,7,150,88493.16666666667,120437.5,63174.430416682204,15799.666666666666,3255,2462
2,0.3,12.0,5,150,88412.66666666667,119781.5,62626.954342537065,16508.833333333332,3568,2914
2,0.3,18.0,7,250,87807.16666666667,119813.0,64130.51399663207,15037.166666666666,2582,2109
2,0.3,18.0,5,150,87684.33333333333,117272.5,62560.00393932923,16069.833333333334,3261,2830
2,0.3,24.0,5,150,87542.66666666667,116580.0,62401.66777863838,15863.0,2939,2735
2,0.3,24.0,7,250,87468.16666666667,117831.0,64065.077934905814,14989.5,2412,2084
2,0.3,24.0,5,250,86827.16666666667,115322.5,63129.35807112427,15339.083333333334,2444,2482
2,0.3,12.0,7,250,86218.5,115290.0,63647.753840309764,15926.0,2820,2357
3,0.3,24.0,7,150,86163.83333333333,113526.5,63035.40756700863,15464.5,2163,2264
3,0.3,12.0,5,150,86026.83333333333,112353.5,61924.80157259735,15951.833333333334,2536,2715
2,0.3,18.0,5,250,86010.83333333333,114277.0,63217.084930728095,16066.0,2623,2547
3,0.3,12.0,7,150,85987.5,113007.5,62469.169421803585,16050.666666666666,2414,2331
3,0.3,18.0,7,250,85957.66666666667,113978.0,63960.2165872575,15470.916666666666,1989,2147
3,0.3,12.0,7,250,85915.0,114299.0,63706.43461744399,15564.25,2088,2127
4,0.3,24.0,5,250,85912.5,113184.0,64398.870988421324,14860.916666666666,1635,2353
3,0.3,18.0,7,150,85818.66666666667,112574.5,62757.03134487977,15913.833333333334,2304,2372
2,0.3,12.0,5,250,85524.16666666667,113075.0,62943.00693859662,16534.833333333332,2844,2695
3,0.3,24.0,7,250,85441.66666666667,112448.0,63767.72299438713,15431.833333333334,1847,2164
3,0.3,24.0,5,250,85401.66666666667,111813.0,62957.5684533286,15310.833333333334,1977,2551
3,0.3,12.0,5,250,85397.16666666667,112002.5,62771.36487660773,15784.0,2165,2506
3,0.3,24.0,5,150,85338.33333333333,110581.5,62315.25600703429,15803.0,2269,2692
3,0.3,18.0,5,150,85166.5,110408.5,62241.01704596951,16162.333333333334,2392,2735
4,0.3,24.0,7,250,85162.66666666667,111375.0,65029.81520724851,15568.833333333334,1551,2178
3,0.3,18.0,5,250,85037.0,110442.0,62901.02329586274,15672.833333333334,2057,2569
4,0.3,18.0,7,150,84933.33333333333,111080.0,63393.67199141847,15121.666666666666,1774,2133
2,0.45,12.0,7,150,84875.5,119459.5,65361.48021260943,15843.5,4261,3335
4,0.3,12.0,7,150,84784.83333333333,111385.0,63538.6743367551,15265.666666666666,1859,2147
4,0.3,18.0,7,250,84376.83333333333,110513.0,64524.81308875594,15451.416666666666,1659,2174
4,0.3,24.0,5,150,84372.16666666667,109121.0,62961.69541188427,15774.083333333334,1828,2582
4,0.3,24.0,7,150,84359.0,109511.0,63565.36278771115,15622.333333333334,1732,2278
4,0.3,18.0,5,250,84006.83333333333,108869.0,63663.15100960855,15748.0,1711,2493
4,0.3,18.0,5,150,83933.83333333333,107682.0,62731.54136587821,16150.833333333334,1891,2676
4,0.3,12.0,7,250,83706.33333333333,109467.0,64476.840091789716,15858.0,1662,2223
4,0.3,12.0,5,250,83671.5,108733.5,63698.76728726127,15753.666666666666,1738,2522
4,0.3,12.0,5,150,83449.83333333333,106950.5,62896.65158394541,16229.833333333334,2007,2741
2,0.45,24.0,7,250,83066.66666666667,111172.0,65055.21924915445,16330.333333333334,3022,3177
2,0.45,12.0,5,150,82888.66666666667,112800.0,64349.91611407811,16427.5,4319,3768
3,0.45,24.0,7,250,82877.83333333333,109014.0,64094.7062983537,15475.333333333334,2412,2962
2,0.45,12.0,7,250,82274.33333333333,109285.5,64771.74616983001,16492.333333333332,3343,3265
4,0.45,12.0,7,250,82085.0,107021.0,63798.39020696369,15618.666666666666,2066,2771
2,0.45,18.0,7,150,81932.66666666667,110431.5,64728.56802748605,16889.0,3820,3522
4,0.45,18.0,7,250,81803.0,105686.5,63545.65949771865,15866.0,2071,2865
3,0.45,24.0,7,150,81780.5,107998.5,64157.497810076726,15678.0,2659,3117
3,0.45,18.0,7,250,81700.5,106732.5,64147.023601385175,15957.333333333334,2510,3003
3,0.45,12.0,7,250,81678.33333333333,106943.5,64103.90269883903,16400.166666666668,2677,3160
3,0.45,18.0,7,150,81628.66666666667,107995.0,64149.17411436843,16229.166666666666,2913,3294
2,0.45,18.0,7,250,81415.33333333333,106348.5,64285.92740423227,16830.666666666668,3159,3279
2,0.45,24.0,5,250,81391.0,106422.0,64434.70964213827,16152.0,3003,3326
4,0.45,24.0,5,250,81289.16666666667,104215.5,63423.572924207154,15892.0,2059,3039
2,0.45,24.0,7,150,81281.16666666667,109179.5,63897.17135997145,16847.666666666668,3692,3581
4,0.45,24.0,7,250,81272.5,103685.0,63754.58797281442,16214.0,1955,2886
2,0.45,24.0,5,150,81214.16666666667,107174.0,63975.29368283944,16859.833333333332,3632,3785
2,0.45,18.0,5,250,81203.0,105971.5,64218.310467757816,16550.5,3210,3549
2,0.45,18.0,5,150,81178.33333333333,107704.0,64093.678808617486,16399.666666666668,3807,3673
3,0.45,24.0,5,250,81142.16666666667,104140.0,63681.74798798755,16151.416666666666,2460,3336
3,0.45,18.0,5,250,81074.16666666667,105251.0,63619.91640573118,15754.333333333334,2543,3232
4,0.45,12.0,5,250,81008.16666666667,104154.0,63341.010081454246,16023.333333333334,2135,3121
3,0.45,12.0,7,150,80904.5,107919.0,63863.47159566257,16470.0,3165,3463
3,0.45,24.0,5,150,80625.33333333333,103600.5,63425.86093139681,15993.333333333334,2776,3485
4,0.45,18.0,5,250,80561.83333333333,102413.0,63327.80223413375,16867.25,2153,3270
4,0.45,18.0,7,150,80486.16666666667,103622.5,63726.73233271541,15999.583333333334,2218,3044
4,0.45,12.0,7,150,80410.16666666667,103754.0,63877.18873071113,16677.333333333332,2337,3148
2,0.45,12.0,5,250,80406.0,103934.5,64264.40048217468,16892.166666666668,3356,3559
4,0.45,24.0,7,150,80116.33333333333,102327.0,63873.138662160294,16647.083333333332,2162,3129
3,0.45,12.0,5,250,79946.66666666667,102092.0,63724.964398229014,16794.833333333332,2731,3494
3,0.45,12.0,5,150,79892.33333333333,102955.5,63760.047210006225,16784.0,3154,3761
4,0.45,24.0,5,150,79682.83333333333,100327.0,63409.75249233267,16639.666666666668,2259,3453
3,0.45,18.0,5,150,79374.0,100651.0,63648.22989945073,17050.333333333332,3041,3766
4,0.45,18.0,5,150,78947.5,98313.0,63558.066854255405,17166.583333333332,2357,3522
4,0.45,12.0,5,150,78815.0,98335.0,63497.555795479246,17217.416666666668,2473,3546
4,0.6,24.0,7,250,76239.16666666667,99647.0,66999.3044377245,18213.0,2853,3698
4,0.6,18.0,7,250,76191.33333333333,99369.5,67089.02587524199,18279.166666666668,2978,3735
4,0.6,24.0,5,250,74574.83333333333,95238.0,67307.05657016126,18411.916666666668,2910,4041
4,0.6,12.0,7,250,74345.16666666667,94806.0,67100.98464607075,19414.0,3071,3962
4,0.6,18.0,5,250,74071.33333333333,93948.5,67167.10834097958,18832.916666666668,3004,4128
3,0.6,24.0,7,250,73847.66666666667,98335.5,69546.5131372922,20247.583333333332,3432,4139
3,0.6,12.0,7,250,73230.33333333333,93788.5,68387.43161007161,20022.5,3561,4090
3,0.6,18.0,7,250,73148.5,96927.5,69802.02857785247,20587.416666666668,3600,4216
4,0.6,18.0,7,150,72782.0,92370.0,67610.2856918482,19928.916666666668,3466,4277
4,0.6,24.0,7,150,72186.33333333333,91544.5,67390.93650649338,20588.666666666668,3373,4322
4,0.6,12.0,7,150,72130.0,90668.5,67873.17277589627,20515.083333333332,3537,4335
2,0.6,18.0,7,250,72085.5,95969.5,71101.69189911494,21247.0,4035,4293
2,0.6,24.0,7,250,72059.0,95744.5,71105.85499567997,21385.166666666668,3899,4314
3,0.6,24.0,5,250,71956.33333333333,93504.5,69602.74889367197,19979.833333333332,3473,4410
2,0.6,12.0,7,250,71884.16666666667,95906.0,71251.71235466712,21731.833333333332,4192,4365
3,0.6,12.0,7,150,71701.0,93654.0,68292.82469142225,21222.0,4389,4607
3,0.6,24.0,7,150,71431.0,94125.5,70087.56117410088,21765.416666666668,4130,4644
4,0.6,12.0,5,250,71424.66666666667,87008.0,67579.78735950236,19832.166666666668,3181,4366
4,0.6,24.0,5,150,71390.66666666667,87160.5,67935.94375504686,20158.916666666668,3431,4583
3,0.6,12.0,5,250,71061.5,88144.5,68736.97396537519,20672.166666666668,3599,4447
4,0.6,12.0,5,150,70969.83333333333,86945.5,68075.02229995145,20335.25,3659,4670
3,0.6,18.0,5,250,70675.16666666667,90219.5,69960.35771639219,21162.416666666668,3627,4591
3,0.6,18.0,7,150,70573.16666666667,91849.0,70458.48559593246,21915.083333333332,4355,4756
4,0.6,18.0,5,150,70544.5,84623.5,68252.00633619986,20326.083333333332,3590,4658
2,0.6,24.0,5,250,70365.33333333333,91505.5,71345.82684284267,21952.416666666668,3919,4651
2,0.6,18.0,5,250,70354.16666666667,91765.0,71356.8033930348,22002.416666666668,4051,4633
2,0.6,24.0,7,150,69330.66666666667,92139.0,70701.38290176666,23068.333333333332,5076,4994
3,0.6,24.0,5,150,69304.5,87311.5,70279.70772266581,21916.083333333332,4197,5008
3,0.6,12.0,5,150,69130.0,83581.0,69422.13655119909,21253.75,4352,4942
2,0.6,12.0,5,250,68661.5,87360.5,71379.42198502777,22961.5,4271,4865
3,0.6,18.0,5,150,68350.16666666667,84403.5,70664.98390862023,22475.166666666668,4391,5117
2,0.6,18.0,7,150,67852.5,87456.0,71380.54287584257,23427.666666666668,5206,5113
2,0.6,24.0,5,150,67571.33333333333,84935.0,71585.31307157603,23030.0,4970,5299
2,0.6,12.0,7,150,67249.16666666667,84641.0,71649.29880888964,23251.666666666668,5440,5079
2,0.6,18.0,5,150,66103.83333333333,80596.0,72479.35959847849,23948.333333333332,5119,5392
2,0.6,12.0,5,150,65949.83333333333,80206.5,72282.92949794962,23244.166666666668,5333,5392
