session_id,total_pnl,final_inventory,final_cash,mark_px,max_drawdown,passive_fill_count,aggressive_fill_count,pnl_mode_earnings_shock,pnl_mode_inventory_unwind,pnl_mode_normal_mm,pnl_mode_overshoot_fade
A_research_2026-04-04_18-34-16_live_round,85000.0,80,-6120.0,1139.0,16619.0,1291,1578,-6289.0,-9852.0,-22229.5,-295.0
A_research_2026-04-04_18-49-30_live_round,210339.0,-146,372837.0,1113.0,17056.0,544,908,-8958.0,-49552.0,22743.5,
A_research_2026-04-04_19-04-44_live_round,66989.0,140,-14211.0,580.0,55477.0,214,460,-1138.5,211144.5,141686.0,
A_research_2026-04-04_19-55-24_live_round,143436.0,148,-1456.0,979.0,19564.0,133,183,-2332.5,197728.0,226484.0,105414.0
market_research_2026-04-04_21-22-29_live_round,177836.0,148,-28772.0,1396.0,14466.0,313,468,-1547.5,19912.0,-103501.5,-33.0
market_research_2026-04-04_21-42-06_live_round,238415.0,82,166009.0,883.0,17230.0,252,569,-1557.5,22756.0,453428.5,
market_research_2026-04-04_21-53-21_live_round,128305.0,-146,304673.0,1208.0,4576.0,197,257,-2014.0,60.0,-3380.0,
market_research_2026-04-04_22-09-26_live_round,173269.0,148,-32007.0,1387.0,18607.0,154,240,-1574.0,10380.0,-91221.5,
market_research_2026-04-04_22-23-04_live_round,142743.0,-80,233343.0,1132.5,4891.0,222,276,-1576.0,340.0,-1938.5,
market_research_2026-04-04_23-39-25_live_round,11179.0,80,-71741.0,1036.5,21130.0,604,347,-1144.5,1292.0,1805.5,
market_research_2026-04-05_00-04-32_live_round,2198.0,-140,166558.0,1174.0,16506.0,7,10,-461.0,,322.0,
market_research_2026-04-05_00-10-48_live_round,-8623.0,-142,168025.0,1244.0,18034.0,324,143,-472.5,56.0,1356.5,
market_research_2026-04-05_01-21-47_live_round,12894.0,122,-118500.0,1077.0,18620.0,73,125,-971.5,36612.0,106119.5,
market_research_2026-04-05_01-41-23_live_round,73832.0,-2,75628.0,898.0,5438.5,931,649,-2287.5,-4664.0,-5693.5,
market_research_2026-04-05_02-29-12_live_round,-2600.0,-140,164840.0,1196.0,32060.0,330,542,-1747.0,204.0,-5316.0,
