session_id,layout,book_event_count,trade_event_count,news_event_count,earnings_event_count,duration_ms
A_research_2026-04-04_18-34-16_live_round,legacy_derived,52632,699,7,6,447900.819666
A_research_2026-04-04_18-49-30_live_round,legacy_derived,73450,1476,24,20,906192.335458
A_research_2026-04-04_19-04-44_live_round,legacy_derived,50934,874,16,14,682591.439625
A_research_2026-04-04_19-55-24_live_round,legacy_derived,49363,756,17,14,614433.912042
market_research_2026-04-04_21-22-29_live_round,legacy_derived,31092,619,14,8,968563.7205
market_research_2026-04-04_21-42-06_live_round,legacy_derived,23051,805,10,6,669677.038083
market_research_2026-04-04_21-53-21_live_round,legacy_derived,29755,312,13,9,958548.102958
market_research_2026-04-04_22-09-26_live_round,legacy_derived,25448,442,13,7,809235.511667
market_research_2026-04-04_22-23-04_live_round,legacy_derived,28743,392,12,8,939376.24525
market_research_2026-04-04_23-39-25_live_round,legacy_derived,28199,265,6,3,832120.772291
market_research_2026-04-05_00-04-32_live_round,legacy_derived,18108,79,4,3,369606.61608300003
market_research_2026-04-05_00-10-48_live_round,legacy_derived,29551,158,5,3,839085.972375
market_research_2026-04-05_01-21-47_live_round,legacy_derived,14283,285,6,4,251970.156875
market_research_2026-04-05_01-41-23_live_round,legacy_derived,28407,401,7,4,839219.46
market_research_2026-04-05_02-29-12_live_round,new_raw,139468,792,65,17,750091.1448744664
