tick,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,100.32825470300774,100.21168069705868,100.05592062757141,99.08991120009128,99.79224751380166,100.02355702487176,100.09171067055146,99.76922677491042,99.91785482072248,99.86369823838551,99.72457983687512,99.63332010088085,99.78158289802043,100.10799217397424,100.1940880261849,99.78495653993834,100.1286851596723,99.86992041930613,100.44422965431782,99.75739314957988,100.17360103669743,99.81693001154143,100.00458735759885,100.09182136843833,99.67488718846097
2,100.4961949588909,100.22248285351519,99.81737056827936,99.03115282309167,99.80590627261074,99.47479602473949,99.72808842255654,100.01226171636738,99.6834235205391,99.98893961286873,99.70829076992047,99.13594638634608,100.1538374021561,99.9444054793073,100.10937306868678,99.53155610295545,100.22540921718651,100.1117798834031,100.64143874997251,99.8248203716303,100.22074471709745,99.73050161604532,99.65863346738072,100.0381870918091,99.84440782927524
3,101.05618818229242,99.87851458111784,99.53367211643912,98.71127600772294,100.00958628395175,99.0275776726159,99.5977767434627,99.40361428598428,99.43987271750217,99.81941607661366,99.25157805029626,98.69479270309817,99.57478392754304,99.32186645099155,99.88227329340566,98.56592566349627,100.05414939068379,99.39881872764055,99.99763240483047,99.32560589347898,99.78895284251416,99.32354731166211,99.22748584541486,100.00043267562106,99.45110524409715
4,100.6632724795285,100.02189520823693,99.5483004713446,98.2949334417199,100.04709801359121,99.70129326565409,99.46667202960927,99.22777760444126,99.13599728228776,99.93835426745585,99.64598895175611,98.84393339724744,99.29559988488668,98.88724441109832,99.89729905011195,98.74331688110995,100.26099078639585,99.55392971048548,99.77768590502373,99.75757515969666,99.84198082337659,99.7720879390332,100.064253563059,100.05964616692525,99.69766591973793
5,100.9844823046488,100.05304501430525,99.70959184528726,98.65371688501025,99.50459473736893,99.36162972389333,99.81475037300265,99.70856341932151,99.39085511265397,100.13377974462026,99.9610730404324,99.18516814998772,99.5176466373338,98.91319942270668,100.1173989862845,98.67289326195115,100.60111832001638,99.97500981213264,99.77992322360926,100.5487327129356,99.94781021596323,100.07767397939509,100.16535668716374,99.74772860399726,100.15763507037929
6,100.87073499544006,99.86497313763847,99.4482043894469,98.1005088513187,99.37644364210355,99.29252869208526,100.09295827022841,99.36910360318397,99.22099930897794,99.95285406282763,99.94614206874938,98.79664491730287,99.21461786280472,98.60157267765575,99.85828664742246,98.50623539539663,100.70116507817272,99.33006127342169,99.88100269417917,100.96687192366966,99.96198848502218,99.0380235771072,100.43097208793999,99.62714762059167,99.95411926876177
7,100.89821963385866,99.53754537283974,99.54426122035822,98.12681223843471,99.85995317180758,99.07059135990059,100.11520193305975,99.7103082033822,99.32081137347738,99.92402719903049,99.88972946241971,98.85001494629267,99.40090341764959,98.23788054050254,99.81887026622726,98.7412960797134,100.73546409912102,99.28104085555992,98.87353187610864,100.32152246368045,99.83541916721673,98.96056414115273,100.33579343407347,99.7367483705185,99.75188463783758
8,101.1335480352154,99.71713082563754,99.66864328862147,97.93823670039025,99.917886889693,98.83442102838927,98.26032077157639,99.47749872752081,99.37256080232805,99.56522499078581,99.77608374022574,98.72267320878741,99.67317253869005,98.34379077007813,99.87603859440462,98.85840178222435,100.50240776535901,99.22532236649434,98.70320756220718,99.89996009362822,100.07162454293298,98.7475858776873,100.2630857324055,99.41142769254148,99.62770933275972
9,101.38671670206328,99.40986445451566,99.60992967930427,98.26176447179795,100.02505091549791,99.02194592607981,97.77404663282599,99.43710348024244,99.35050167511325,99.25057852820586,99.72841480656386,99.11338580635451,100.02850472976206,98.24781749780354,99.45017893632486,98.71436163758356,100.3277341370558,99.295266975019,98.94428330694326,99.98195076838877,100.33912897673332,98.7887360655434,100.18065221010468,99.47571663239188,99.79107910071704
