event_index,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,trade_px,trade_qty,mid_at_trade,spread_at_trade,time_since_last_A_news,latest_known_eps_for_A
229,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:47.874355+00:00,1775347487874355000,164914514417416,,,,A,796,37,796.0,0.0,,
930,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:56.525698+00:00,1775347496525698000,164923165791500,83,,,A,796,37,795.5,-1.0,0.005264834,
931,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:56.525918+00:00,1775347496525918000,164923166011416,83,,,A,795,52,795.5,-1.0,0.00548475,
1115,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:58.739326+00:00,1775347498739326000,164925379426750,83,,,A,811,37,807.5,-7.0,2.218900084,
1116,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:58.739551+00:00,1775347498739551000,164925379652083,83,,,A,810,52,807.5,-7.0,2.219125417,
1117,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:58.739717+00:00,1775347498739717000,164925379818416,83,,,A,810,78,807.5,-7.0,2.21929175,
1137,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:58.993420+00:00,1775347498993420000,164925633522833,83,,,A,808,37,808.0,0.0,2.472996167,
1157,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.193661+00:00,1775347499193661000,164925833763875,83,,,A,803,37,802.5,-1.0,2.673237209,
1162,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.198500+00:00,1775347499198500000,164925838602458,83,,,A,803,45,803.0,0.0,2.678075792,
1177,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.393170+00:00,1775347499393170000,164926033273250,83,,,A,797,37,797.0,0.0,2.872746584,
1195,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.586885+00:00,1775347499586885000,164926226989833,83,,,A,791,37,789.0,-4.0,3.066463167,
1200,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.589424+00:00,1775347499589424000,164926229528375,83,,,A,791,45,789.5,-3.0,3.069001709,
1201,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.589503+00:00,1775347499589503000,164926229607916,83,,,A,789,7,789.5,-3.0,3.06908125,
1207,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.592277+00:00,1775347499592277000,164926232381166,83,,,A,789,30,789.0,0.0,3.0718545,
1219,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.796956+00:00,1775347499796956000,164926437061416,83,,,A,786,37,782.5,-7.0,3.27653475,
1224,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.801179+00:00,1775347499801179000,164926441283625,83,,,A,786,45,783.0,-6.0,3.280756959,
1238,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.994102+00:00,1775347499994102000,164926634207458,100,,,A,776,37,773.0,-6.0,3.473680792,
1243,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.997901+00:00,1775347499997901000,164926638007208,100,,,A,776,45,773.5,-5.0,3.477480542,
1244,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:59.998007+00:00,1775347499998007000,164926638113291,100,,,A,771,7,773.5,-5.0,3.477586625,
1261,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.194338+00:00,1775347500194338000,164926834443458,100,,,A,768,37,764.0,-8.0,3.673916792,
1266,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.199528+00:00,1775347500199528000,164926839634583,100,,,A,768,45,764.5,-7.0,3.679107917,
1267,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.199866+00:00,1775347500199866000,164926839972916,100,,,A,762,7,764.5,-7.0,3.67944625,
1273,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.204700+00:00,1775347500204700000,164926844806250,100,,,A,762,30,762.0,0.0,3.684279584,
1284,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.438851+00:00,1775347500438851000,164927078957958,100,,,A,759,37,755.0,-8.0,3.918431292,
1289,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.442566+00:00,1775347500442566000,164927082673000,100,,,A,759,45,755.5,-7.0,3.922146334,
1290,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.442667+00:00,1775347500442667000,164927082774916,100,,,A,752,7,755.5,-7.0,3.92224825,
1305,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.600711+00:00,1775347500600711000,164927240818958,100,,,A,749,37,745.0,-8.0,4.080292292,
1310,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.604642+00:00,1775347500604642000,164927244749791,100,,,A,749,45,745.5,-7.0,4.084223125,
1311,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.604764+00:00,1775347500604764000,164927244872333,100,,,A,743,7,745.5,-7.0,4.084345667,
1317,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.608758+00:00,1775347500608758000,164927248865916,100,,,A,743,30,743.0,0.0,4.08833925,
1328,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.801204+00:00,1775347500801204000,164927441312625,100,,,A,740,37,735.5,-9.0,4.280785959,
1333,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.805264+00:00,1775347500805264000,164927445372708,100,,,A,740,45,736.0,-8.0,4.284846042,
1334,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.805387+00:00,1775347500805387000,164927445495916,100,,,A,733,7,736.0,-8.0,4.28496925,
1340,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:00.809660+00:00,1775347500809660000,164927449768541,100,,,A,733,30,733.0,0.0,4.289241875,
1351,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.004478+00:00,1775347501004478000,164927644587791,100,,,A,730,37,724.0,-12.0,4.484061125,
1356,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.008688+00:00,1775347501008688000,164927648797625,100,,,A,730,45,724.5,-11.0,4.488270959,
1357,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.008817+00:00,1775347501008817000,164927648926166,100,,,A,723,7,724.5,-11.0,4.4883995,
1363,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.013159+00:00,1775347501013159000,164927653269000,100,,,A,723,30,721.5,-3.0,4.492742334,
1364,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.013246+00:00,1775347501013246000,164927653356083,100,,,A,722,37,721.5,-3.0,4.492829417,
1370,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.016917+00:00,1775347501016917000,164927657026875,100,,,A,722,15,721.5,-1.0,4.496500209,
1371,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.017002+00:00,1775347501017002000,164927657111708,100,,,A,721,67,721.5,-1.0,4.496585042,
1380,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.216386+00:00,1775347501216386000,164927856495458,100,,,A,720,37,713.0,-14.0,4.695968792,
1385,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.221601+00:00,1775347501221601000,164927861710833,100,,,A,720,45,713.5,-13.0,4.701184167,
1386,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.221810+00:00,1775347501221810000,164927861919791,100,,,A,710,7,713.5,-13.0,4.701393125,
1392,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.226879+00:00,1775347501226879000,164927866989541,100,,,A,710,30,709.0,-2.0,4.706462875,
1393,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.226998+00:00,1775347501226998000,164927867108541,100,,,A,709,37,709.0,-2.0,4.706581875,
1399,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.231101+00:00,1775347501231101000,164927871211291,100,,,A,709,15,709.0,0.0,4.710684625,
1406,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.484684+00:00,1775347501484684000,164928124794958,100,,,A,707,37,700.0,-14.0,4.964268292,
1411,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.487194+00:00,1775347501487194000,164928127304875,100,,,A,707,45,700.5,-13.0,4.966778209,
1412,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.487276+00:00,1775347501487276000,164928127387708,100,,,A,698,7,700.5,-13.0,4.966861042,
1418,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.490330+00:00,1775347501490330000,164928130441208,100,,,A,698,30,696.5,-3.0,4.969914542,
1419,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.490404+00:00,1775347501490404000,164928130515375,100,,,A,697,37,696.5,-3.0,4.969988709,
1425,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.493748+00:00,1775347501493748000,164928133859708,100,,,A,697,15,696.5,-1.0,4.973333042,
1426,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.493823+00:00,1775347501493823000,164928133934041,100,,,A,696,67,696.5,-1.0,4.973407375,
1434,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.628318+00:00,1775347501628318000,164928268429375,100,,,A,695,37,689.5,-11.0,5.107902709,
1439,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.631915+00:00,1775347501631915000,164928272026458,100,,,A,695,45,690.0,-10.0,5.111499792,
1440,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.632008+00:00,1775347501632008000,164928272119833,100,,,A,685,7,690.0,-10.0,5.111593167,
1454,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.845389+00:00,1775347501845389000,164928485499666,100,,,A,682,37,676.0,-12.0,5.324973,
1459,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.849771+00:00,1775347501849771000,164928489883208,100,,,A,682,45,676.5,-11.0,5.329356542,
1460,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.849898+00:00,1775347501849898000,164928490010125,100,,,A,676,7,676.5,-11.0,5.329483459,
1466,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.854685+00:00,1775347501854685000,164928494797666,100,,,A,676,30,674.0,-4.0,5.334271,
1467,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.854776+00:00,1775347501854776000,164928494888916,100,,,A,675,37,674.0,-4.0,5.33436225,
1473,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.858735+00:00,1775347501858735000,164928498847083,100,,,A,675,15,674.0,-2.0,5.338320417,
1474,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:01.858821+00:00,1775347501858821000,164928498933375,100,,,A,674,67,674.0,-2.0,5.338406709,
1482,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.033840+00:00,1775347502033840000,164928673952916,100,,,A,673,37,664.5,-17.0,5.51342625,
1487,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.037778+00:00,1775347502037778000,164928677891333,100,,,A,673,45,665.0,-16.0,5.517364667,
1488,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.037898+00:00,1775347502037898000,164928678010625,100,,,A,662,7,665.0,-16.0,5.517483959,
1494,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.042334+00:00,1775347502042334000,164928682446625,100,,,A,662,30,660.0,-4.0,5.521919959,
1495,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.042424+00:00,1775347502042424000,164928682537541,100,,,A,661,37,660.0,-4.0,5.522010875,
1501,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.046367+00:00,1775347502046367000,164928686480541,100,,,A,661,15,660.0,-2.0,5.525953875,
1502,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.046444+00:00,1775347502046444000,164928686557500,100,,,A,660,67,660.0,-2.0,5.526030834,
1509,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.233437+00:00,1775347502233437000,164928873550500,100,,,A,659,37,650.0,-18.0,5.713023834,
1514,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.237572+00:00,1775347502237572000,164928877685708,100,,,A,659,45,650.5,-17.0,5.717159042,
1515,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.237696+00:00,1775347502237696000,164928877809750,100,,,A,648,7,650.5,-17.0,5.717283084,
1521,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:02.241955+00:00,1775347502241955000,164928882068416,100,,,A,648,30,645.5,-5.0,5.72154175,
