news_id,timestamp_iso,exchange_tick,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A_research_2026-04-04_19-55-24_live_round-news-1,2026-04-05T00:55:28.457222+00:00,1500,,1.119238731304944,,1173.0,6.0,1172.0,6.0,1172.0,6.0,1170.0,6.0,1171.0,6.0,1173.0,2.0,1176.0,6.0,-3.0,3.0
A_research_2026-04-04_19-55-24_live_round-news-2,2026-04-05T00:55:58.564424+00:00,1650,1.119238731304944,1.0607655298379044,-0.5847320146703971,1163.5,1.0,1159.5,9.0,1158.0,6.0,1157.0,6.0,1154.0,6.0,1145.0,6.0,1128.0,4.0,-35.5,-35.5
A_research_2026-04-04_19-55-24_live_round-news-3,2026-04-05T00:56:58.891518+00:00,1950,1.0607655298379044,1.2980945711385277,2.3732904130062327,1098.0,6.0,1098.5,5.0,1099.0,6.0,1098.0,6.0,1102.0,6.0,1104.0,6.0,1101.5,3.0,6.0,3.5
A_research_2026-04-04_19-55-24_live_round-news-4,2026-04-05T00:57:29.161084+00:00,2100,1.2980945711385277,1.014716786770191,-2.8337778436833663,1323.0,6.0,1324.0,6.0,1323.0,4.0,1319.0,6.0,1310.5,7.0,1289.0,6.0,1205.0,6.0,-118.0,-118.0
A_research_2026-04-04_19-55-24_live_round-news-6,2026-04-05T00:58:29.468673+00:00,2400,1.014716786770191,1.0278037775107771,0.13086990740586124,922.0,6.0,923.0,4.0,925.5,3.0,929.0,2.0,933.0,6.0,950.0,4.0,992.5,1.0,70.5,70.5
A_research_2026-04-04_19-55-24_live_round-news-8,2026-04-05T00:58:59.563770+00:00,2550,1.0278037775107771,0.8239975666497548,-2.038062108610223,950.5,5.0,950.5,5.0,950.5,5.0,953.5,3.0,959.5,3.0,967.5,3.0,928.0,4.0,-22.5,-22.5
A_research_2026-04-04_19-55-24_live_round-news-9,2026-04-05T00:59:59.932969+00:00,2850,0.8239975666497548,1.0270032424427813,2.0300567579302644,862.0,6.0,863.0,4.0,864.0,6.0,867.5,5.0,873.5,3.0,886.0,2.0,946.5,1.0,84.5,84.5
A_research_2026-04-04_19-55-24_live_round-news-10,2026-04-05T01:00:30.102854+00:00,3000,1.0270032424427813,1.1026118811459702,0.756086387031889,1054.0,6.0,1055.5,3.0,1056.0,4.0,1055.0,6.0,1062.0,4.0,1069.0,4.0,1102.5,5.0,48.5,48.5
A_research_2026-04-04_19-55-24_live_round-news-11,2026-04-05T01:01:30.424938+00:00,3300,1.1026118811459702,1.0802170919175609,-0.22394789228409273,1135.0,6.0,1135.0,6.0,1136.5,3.0,1137.0,4.0,1141.0,6.0,1143.5,5.0,1136.0,2.0,8.5,1.0
A_research_2026-04-04_19-55-24_live_round-news-12,2026-04-05T01:02:00.627061+00:00,3450,1.0802170919175609,0.9952676578577768,-0.8494943405978415,1114.0,6.0,1113.5,5.0,1110.5,1.0,1108.0,6.0,1109.0,6.0,1103.0,6.0,1065.0,4.0,-49.0,-49.0
A_research_2026-04-04_19-55-24_live_round-news-13,2026-04-05T01:03:00.919054+00:00,3750,0.9952676578577768,0.8911342421617461,-1.041334156960307,1027.0,6.0,1028.0,4.0,1029.0,6.0,1029.5,5.0,1035.0,6.0,1037.0,4.0,977.0,-4.0,-50.0,-50.0
A_research_2026-04-04_19-55-24_live_round-news-14,2026-04-05T01:03:31.073891+00:00,3900,0.8911342421617461,1.0430196697120586,1.5188542755031254,932.0,6.0,931.0,6.0,931.0,6.0,926.5,5.0,924.0,6.0,924.0,6.0,,,-8.0,
A_research_2026-04-04_19-55-24_live_round-news-15,2026-04-05T01:04:31.475912+00:00,4200,1.0430196697120586,1.0719933099016488,0.2897364018959028,1068.0,6.0,1067.0,4.0,1064.5,3.0,1064.0,6.0,1066.0,4.0,1063.5,5.0,1084.0,6.0,16.0,16.0
A_research_2026-04-04_19-55-24_live_round-news-17,2026-04-05T01:05:01.566297+00:00,4350,1.0719933099016488,0.9404098707490286,-1.3158343915262023,943.0,6.0,941.0,2.0,939.5,5.0,939.0,4.0,939.5,5.0,941.0,6.0,953.0,6.0,10.0,10.0
