news_id,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,kind,symbol,structured_subtype,earnings_value,raw_content,normalized_content,parsed_sentiment,parsed_signal_strength,previous_known_eps_for_A,new_known_eps_for_A,inferred_fair_price_before,inferred_fair_price_after,note
A_research_2026-04-04_19-55-24_live_round-news-1,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:28.457222+00:00,1775350528457222000,166238766862916,1500,,,structured,A,earnings,1.119238731304944,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.119238731304944}",,,,1.119238731304944,,11.192387313049439,Structured earnings for A.
A_research_2026-04-04_19-55-24_live_round-news-2,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:58.564424+00:00,1775350558564424000,166268874141041,1650,,,structured,A,earnings,1.0607655298379044,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0607655298379044}",,,1.119238731304944,1.0607655298379044,11.192387313049439,10.607655298379044,Structured earnings for A.
A_research_2026-04-04_19-55-24_live_round-news-3,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:56:58.891518+00:00,1775350618891518000,166329201383541,1950,,,structured,A,earnings,1.2980945711385277,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.2980945711385277}",,,1.0607655298379044,1.2980945711385277,10.607655298379044,12.980945711385276,Structured earnings for A.
A_research_2026-04-04_19-55-24_live_round-news-4,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:57:29.161084+00:00,1775350649161084000,166359471023666,2100,,,structured,A,earnings,1.014716786770191,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.014716786770191}",,,1.2980945711385277,1.014716786770191,12.980945711385276,10.14716786770191,Structured earnings for A.
A_research_2026-04-04_19-55-24_live_round-news-5,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:57:44.147267+00:00,1775350664147267000,166374457244458,2175,,,unstructured,A,,,A's flagship software product plagued by critical vulnerabilities.,"{""content"":""A's flagship software product plagued by critical vulnerabilities."",""type"":""News""}",,,1.014716786770191,1.014716786770191,10.14716786770191,10.14716786770191,Unstructured news tagged to A.
A_research_2026-04-04_19-55-24_live_round-news-6,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:58:29.468673+00:00,1775350709468673000,166419778762041,2400,,,structured,A,earnings,1.0278037775107771,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0278037775107771}",,,1.014716786770191,1.0278037775107771,10.14716786770191,10.278037775107771,Structured earnings for A.
A_research_2026-04-04_19-55-24_live_round-news-7,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:58:45.297694+00:00,1775350725297694000,166435607821416,2478,,,unstructured,A,,,A recent software update from A sparks widespread user frustration.,"{""content"":""A recent software update from A sparks widespread user frustration."",""type"":""News""}",,,1.0278037775107771,1.0278037775107771,10.278037775107771,10.278037775107771,Unstructured news tagged to A.
A_research_2026-04-04_19-55-24_live_round-news-8,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:58:59.563770+00:00,1775350739563770000,166449873932500,2550,,,structured,A,earnings,0.8239975666497548,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.8239975666497548}",,,1.0278037775107771,0.8239975666497548,10.278037775107771,8.239975666497548,Structured earnings for A.
A_research_2026-04-04_19-55-24_live_round-news-9,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:59:59.932969+00:00,1775350799932969000,166510243280083,2850,,,structured,A,earnings,1.0270032424427813,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0270032424427813}",,,0.8239975666497548,1.0270032424427813,8.239975666497548,10.270032424427813,Structured earnings for A.
A_research_2026-04-04_19-55-24_live_round-news-10,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T01:00:30.102854+00:00,1775350830102854000,166540413239625,3000,,,structured,A,earnings,1.1026118811459702,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.1026118811459702}",,,1.0270032424427813,1.1026118811459702,10.270032424427813,11.026118811459702,Structured earnings for A.
