event_index,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,trade_px,trade_qty,mid_at_trade,spread_at_trade,time_since_last_symbol_news,latest_known_eps_for_symbol
23,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.147986+00:00,1775355750147986000,171460473101375,,,,ETF,2965,40,2964.0,-2.0,,
28,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.148622+00:00,1775355750148622000,171460473737208,,,,ETF,2964,60,2964.0,0.0,,
89,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.351927+00:00,1775355750351927000,171460677042791,,,,ETF,2965,40,2965.0,0.0,,
154,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.552637+00:00,1775355750552637000,171460877753500,,,,ETF,2966,40,2970.5,-9.0,,
159,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.553555+00:00,1775355750553555000,171460878671416,,,,ETF,2966,60,2970.0,-8.0,,
164,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.554210+00:00,1775355750554210000,171460879327041,,,,ETF,2971,40,2972.0,-2.0,,
165,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.554291+00:00,1775355750554291000,171460879407375,,,,ETF,2972,40,2972.0,-2.0,,
171,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.555060+00:00,1775355750555060000,171460880176541,,,,ETF,2972,20,2972.0,0.0,,
228,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.680584+00:00,1775355750680584000,171461005701208,,,,ETF,2974,100,2979.0,-10.0,,
229,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.680720+00:00,1775355750680720000,171461005837041,,,,ETF,2981,40,2979.0,-10.0,,
230,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:30.680834+00:00,1775355750680834000,171461005950666,,,,ETF,2982,60,2979.0,-10.0,,
364,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:31.153724+00:00,1775355751153724000,171461478842500,,,,ETF,2980,40,2981.0,-2.0,,
369,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:31.154617+00:00,1775355751154617000,171461479735000,,,,ETF,2981,60,2981.0,0.0,,
432,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:31.355817+00:00,1775355751355817000,171461680935708,,,,ETF,2983,40,2983.0,0.0,,
498,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:31.557531+00:00,1775355751557531000,171461882649750,,,,ETF,2982,40,2981.0,-2.0,,
503,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:31.559966+00:00,1775355751559966000,171461885084750,,,,ETF,2982,20,2981.5,-1.0,,
504,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:31.560143+00:00,1775355751560143000,171461885262208,,,,ETF,2981,40,2981.5,-1.0,,
571,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:31.838064+00:00,1775355751838064000,171462163183625,,,,ETF,2982,40,2982.5,-1.0,,
