event_index,event_type,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,best_bid_px,best_bid_qty,best_ask_px,best_ask_qty,mid_px,spread,microprice,top_of_book_imbalance,total_bid_depth_top_k,total_ask_depth_top_k,bid_levels_json,ask_levels_json,current_position_symbol,current_cash,last_trade_px_for_symbol,last_trade_qty_for_symbol,most_recent_news_id_affecting_symbol,seconds_since_last_news_for_symbol,inside_post_news_reaction_window
4,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:06.813320+00:00,1775356926813320000,172637139683791,,,,ETF,2895,40,2904,100,2899.5,9.0,2897.5714285714284,-0.42857142857142855,180,290,"[{""px"":2895,""qty"":40},{""px"":2894,""qty"":60},{""px"":2893,""qty"":80},{""px"":2892,""qty"":100}]","[{""px"":2904,""qty"":100},{""px"":2915,""qty"":100},{""px"":3176,""qty"":90}]",0,0,,,,,False
5,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:06.991178+00:00,1775356926991178000,172637317538208,,,,ETF,2896,40,2904,100,2900.0,8.0,2898.285714285714,-0.42857142857142855,140,290,"[{""px"":2896,""qty"":40},{""px"":2895,""qty"":40},{""px"":2894,""qty"":60},{""px"":2893,""qty"":80},{""px"":2892,""qty"":100}]","[{""px"":2904,""qty"":100},{""px"":2915,""qty"":100},{""px"":3176,""qty"":90}]",0,0,,,,,False
8,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:06.992821+00:00,1775356926992821000,172637319184916,,,,ETF,2896,40,2902,40,2899.0,6.0,2899.0,0.0,140,240,"[{""px"":2896,""qty"":40},{""px"":2895,""qty"":40},{""px"":2894,""qty"":60},{""px"":2893,""qty"":80},{""px"":2892,""qty"":100}]","[{""px"":2902,""qty"":40},{""px"":2904,""qty"":100},{""px"":2915,""qty"":100},{""px"":3176,""qty"":90}]",0,0,,,,,False
19,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:06.995660+00:00,1775356926995660000,172637322021458,,,,ETF,2896,40,2902,40,2899.0,6.0,2899.0,0.0,200,240,"[{""px"":2896,""qty"":40},{""px"":2895,""qty"":100},{""px"":2894,""qty"":60},{""px"":2893,""qty"":80},{""px"":2892,""qty"":100}]","[{""px"":2902,""qty"":40},{""px"":2904,""qty"":100},{""px"":2915,""qty"":100},{""px"":3176,""qty"":90}]",0,0,,,,,False
29,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:06.999113+00:00,1775356926999113000,172637325477000,,,,ETF,2896,40,2902,40,2899.0,6.0,2899.0,0.0,200,200,"[{""px"":2896,""qty"":40},{""px"":2895,""qty"":100},{""px"":2894,""qty"":60},{""px"":2893,""qty"":80},{""px"":2892,""qty"":100}]","[{""px"":2902,""qty"":40},{""px"":2903,""qty"":60},{""px"":2904,""qty"":100},{""px"":2915,""qty"":100},{""px"":3176,""qty"":90}]",0,0,,,,,False
30,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:06.999353+00:00,1775356926999353000,172637325716875,,,,ETF,2896,40,2902,40,2899.0,6.0,2899.0,0.0,280,200,"[{""px"":2896,""qty"":40},{""px"":2895,""qty"":100},{""px"":2894,""qty"":140},{""px"":2893,""qty"":80},{""px"":2892,""qty"":100}]","[{""px"":2902,""qty"":40},{""px"":2903,""qty"":60},{""px"":2904,""qty"":100},{""px"":2915,""qty"":100},{""px"":3176,""qty"":90}]",0,0,,,,,False
31,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:06.999540+00:00,1775356926999540000,172637325904458,,,,ETF,2896,40,2902,40,2899.0,6.0,2899.0,0.0,280,280,"[{""px"":2896,""qty"":40},{""px"":2895,""qty"":100},{""px"":2894,""qty"":140},{""px"":2893,""qty"":80},{""px"":2892,""qty"":100}]","[{""px"":2902,""qty"":40},{""px"":2903,""qty"":60},{""px"":2904,""qty"":180},{""px"":2915,""qty"":100},{""px"":3176,""qty"":90}]",0,0,,,,,False
36,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:07.000523+00:00,1775356927000523000,172637326887541,,,,ETF,2896,40,2902,40,2899.0,6.0,2899.0,0.0,280,280,"[{""px"":2896,""qty"":40},{""px"":2895,""qty"":100},{""px"":2894,""qty"":140},{""px"":2893,""qty"":180},{""px"":2892,""qty"":100}]","[{""px"":2902,""qty"":40},{""px"":2903,""qty"":60},{""px"":2904,""qty"":180},{""px"":2915,""qty"":100},{""px"":3176,""qty"":90}]",0,0,,,,,False
37,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:07.000821+00:00,1775356927000821000,172637327185541,,,,ETF,2896,40,2902,40,2899.0,6.0,2899.0,0.0,280,280,"[{""px"":2896,""qty"":40},{""px"":2895,""qty"":100},{""px"":2894,""qty"":140},{""px"":2893,""qty"":180},{""px"":2892,""qty"":100}]","[{""px"":2902,""qty"":40},{""px"":2903,""qty"":60},{""px"":2904,""qty"":180},{""px"":2905,""qty"":100},{""px"":2915,""qty"":100}]",0,0,,,,,False
46,book_update,market_research_2026-04-04_21-42-06_live_round,7efc699623d74ac8961a3f76a12cb867,2026-04-05T02:42:07.002376+00:00,1775356927002376000,172637328739750,,,,ETF,2896,40,2902,40,2899.0,6.0,2899.0,0.0,280,280,"[{""px"":2896,""qty"":40},{""px"":2895,""qty"":100},{""px"":2894,""qty"":140},{""px"":2893,""qty"":180},{""px"":2892,""qty"":100}]","[{""px"":2902,""qty"":40},{""px"":2903,""qty"":60},{""px"":2904,""qty"":180},{""px"":2905,""qty"":100},{""px"":3176,""qty"":90}]",0,0,,,,,False
