event_index,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,trade_px,trade_qty,mid_at_trade,spread_at_trade,time_since_last_symbol_news,latest_known_eps_for_symbol
10559,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:53.292198+00:00,1775357633292198000,173343619940958,375,,,B,1024,40,1024.0,0.0,,
10832,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:54.098413+00:00,1775357634098413000,173344426158041,375,,,B,1023,40,1023.0,0.0,,
14680,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:54:05.851703+00:00,1775357645851703000,173356179471250,375,,,B,1029,40,1029.5,-1.0,,
14742,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:54:05.963346+00:00,1775357645963346000,173356291114375,375,,,B,1032,40,1032.0,0.0,,
16739,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:54:12.065792+00:00,1775357652065792000,173362393572250,500,,,B,1036,40,1036.5,-1.0,,
19750,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:54:21.246749+00:00,1775357661246749000,173371574547375,550,,,B,1019,40,1019.0,0.0,,
25824,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:54:42.071687+00:00,1775357682071687000,173392399526166,625,,,B,1018,40,1018.0,0.0,,
27213,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:54:47.001379+00:00,1775357687001379000,173397329227208,625,,,B,1015,40,1015.0,0.0,,
33706,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:55:12.456909+00:00,1775357712456909000,173422784806708,750,,,B,1007,40,1007.0,0.0,,
40719,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:55:46.005682+00:00,1775357746005682000,173456333646125,825,,,B,1027,40,1027.0,0.0,,
52864,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:56:59.119081+00:00,1775357819119081000,173529447187583,1050,,,B,1002,40,1002.0,0.0,,
65451,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:58:36.731015+00:00,1775357916731015000,173627059311916,1200,,,B,975,40,975.5,-1.0,,
65516,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:58:37.321589+00:00,1775357917321589000,173627649886833,1200,,,B,978,40,979.0,-2.0,,
65521,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:58:37.354867+00:00,1775357917354867000,173627683164833,1200,,,B,978,60,978.5,-1.0,,
85140,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:02:03.398458+00:00,1775358123398458000,173833727158375,1525,,,B,1013,40,1013.0,0.0,,
90457,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:03:06.686405+00:00,1775358186686405000,173897015228125,1525,,,B,1014,40,1014.0,0.0,,
94669,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:04:03.602702+00:00,1775358243602702000,173953931637208,1650,,,B,1000,40,999.5,-1.0,,
94674,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:04:03.658227+00:00,1775358243658227000,173953987162125,1650,,,B,1000,60,1000.0,0.0,,
103292,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:05:48.977752+00:00,1775358348977752000,174059306892916,1725,,,B,991,40,991.0,0.0,,
114028,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:07:49.128180+00:00,1775358469128180000,174179457554833,1975,,,B,981,40,981.0,0.0,,
118521,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:08:36.035891+00:00,1775358516035891000,174226365358291,1975,,,B,964,40,964.0,0.0,,
