event_index,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,trade_px,trade_qty,mid_at_trade,spread_at_trade,time_since_last_symbol_news,latest_known_eps_for_symbol
226,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:21.994474+00:00,1775357601994474000,173312322156541,,,,C,1000,40,999.0,-2.0,,
227,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:21.994598+00:00,1775357601994598000,173312322279833,,,,C,999,60,999.0,-2.0,,
228,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:21.994687+00:00,1775357601994687000,173312322369625,,,,C,998,80,999.0,-2.0,,
633,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:23.285257+00:00,1775357603285257000,173313612941833,,,,C,1001,40,1001.0,0.0,,
2688,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:29.432275+00:00,1775357609432275000,173319759972000,,,,C,1004,40,1002.5,-3.0,,
2689,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:29.432425+00:00,1775357609432425000,173319760121875,,,,C,1003,60,1002.5,-3.0,,
2690,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:29.432526+00:00,1775357609432526000,173319760223291,,,,C,1002,80,1002.5,-3.0,,
2691,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:29.432612+00:00,1775357609432612000,173319760308875,,,,C,1001,20,1002.5,-3.0,,
6889,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:42.205549+00:00,1775357622205549000,173332533270916,300,,,C,993,40,993.0,0.0,,
6938,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:42.303922+00:00,1775357622303922000,173332631643541,300,,,C,994,60,997.5,-7.0,,
6939,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:42.304017+00:00,1775357622304017000,173332631739291,300,,,C,995,80,997.5,-7.0,,
6940,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:42.304104+00:00,1775357622304104000,173332631825666,300,,,C,996,60,997.5,-7.0,,
10051,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:51.760536+00:00,1775357631760536000,173342088275541,375,,,C,988,40,986.5,-3.0,,
10052,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:51.760657+00:00,1775357631760657000,173342088397333,375,,,C,987,60,986.5,-3.0,,
