plot_symbol,earnings_asset,news_id,timestamp_iso,exchange_tick,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A,A,market_research_2026-04-04_22-23-04_live_round-news-1,2026-04-05T03:23:29.547899+00:00,150,,1.1396819096731108,,1148.0,6.0,1148.5,5.0,1149.0,6.0,1148.0,4.0,1146.0,6.0,1140.5,5.0,1177.0,-2.0,29.0,29.0
A,A,market_research_2026-04-04_22-23-04_live_round-news-3,2026-04-05T03:23:59.930747+00:00,300,1.1396819096731108,1.05516484828479,-0.8451706138832069,1304.0,6.0,1303.0,6.0,1303.0,6.0,1300.0,6.0,1292.5,5.0,1284.0,4.0,1263.5,5.0,-40.5,-40.5
A,A,market_research_2026-04-04_22-23-04_live_round-news-4,2026-04-05T03:25:14.368937+00:00,600,1.05516484828479,1.056774042770555,0.01609194485764931,1212.0,6.0,1212.0,6.0,1211.0,4.0,1210.0,6.0,1211.0,4.0,1212.5,3.0,1214.0,6.0,-2.0,2.0
A,A,market_research_2026-04-04_22-23-04_live_round-news-6,2026-04-05T03:26:11.126910+00:00,750,1.056774042770555,0.969343952194596,-0.8743009057595899,1223.0,6.0,1223.0,6.0,1220.0,6.0,1220.0,6.0,1217.0,6.0,1213.0,6.0,1205.0,4.0,-18.0,-18.0
A,A,market_research_2026-04-04_22-23-04_live_round-news-7,2026-04-05T03:28:47.289204+00:00,1050,0.969343952194596,1.1637403844963423,1.9439643230174646,1131.0,6.0,1131.5,5.0,1131.5,5.0,1132.0,6.0,1134.0,4.0,1144.0,-2.0,1156.0,2.0,25.0,25.0
A,A,market_research_2026-04-04_22-23-04_live_round-news-9,2026-04-05T03:30:22.841822+00:00,1200,1.1637403844963423,1.044604063150129,-1.1913632134621341,1324.0,6.0,1324.0,6.0,1324.0,6.0,1325.5,3.0,1325.5,3.0,1326.0,6.0,1328.0,4.0,4.0,4.0
A,A,market_research_2026-04-04_22-23-04_live_round-news-10,2026-04-05T03:34:28.508139+00:00,1500,1.044604063150129,0.7920303425873274,-2.5257372056280163,1191.0,6.0,1191.5,5.0,1191.5,5.0,1191.5,5.0,1192.0,6.0,1188.5,5.0,1175.5,7.0,-15.5,-15.5
A,A,market_research_2026-04-04_22-23-04_live_round-news-12,2026-04-05T03:36:35.958435+00:00,1650,0.7920303425873274,0.9665083661136648,1.7447802352633746,955.0,6.0,953.0,2.0,953.0,2.0,953.5,1.0,953.5,1.0,958.0,2.0,973.0,4.0,18.0,18.0
C,C,market_research_2026-04-04_22-23-04_live_round-news-2,2026-04-05T03:23:29.549652+00:00,150,,2.053235501002665,,976.0,6.0,976.5,7.0,991.5,-19.0,1004.5,5.0,1006.0,2.0,1010.0,6.0,1005.5,5.0,34.0,29.5
C,C,market_research_2026-04-04_22-23-04_live_round-news-5,2026-04-05T03:25:14.380895+00:00,600,2.053235501002665,2.0323766743214744,,973.0,6.0,973.0,12.0,973.0,12.0,964.0,8.0,963.5,5.0,960.0,4.0,962.0,6.0,-13.0,-11.0
C,C,market_research_2026-04-04_22-23-04_live_round-news-8,2026-04-05T03:28:47.303749+00:00,1050,2.0323766743214744,2.055415039913151,,1027.0,6.0,1031.0,0.0,1033.0,0.0,1033.0,0.0,1036.0,6.0,1036.0,6.0,1032.0,6.0,9.0,5.0
C,C,market_research_2026-04-04_22-23-04_live_round-news-11,2026-04-05T03:34:28.539357+00:00,1500,2.055415039913151,2.0959920474171785,,977.0,6.0,988.0,-14.0,978.5,9.0,998.5,7.0,998.5,7.0,998.0,6.0,997.0,2.0,21.5,20.0
ETF,A,market_research_2026-04-04_22-23-04_live_round-news-1,2026-04-05T03:23:29.547899+00:00,150,,1.1396819096731108,,3140.0,6.0,3147.0,-8.0,3146.5,-1.0,3149.0,8.0,3138.5,3.0,3128.0,-4.0,3167.0,-4.0,27.0,27.0
ETF,C,market_research_2026-04-04_22-23-04_live_round-news-2,2026-04-05T03:23:29.549652+00:00,150,,2.053235501002665,,3140.0,6.0,3147.0,-8.0,3146.5,-1.0,3149.0,8.0,3138.5,3.0,3128.0,-4.0,3167.0,-4.0,27.0,27.0
ETF,A,market_research_2026-04-04_22-23-04_live_round-news-3,2026-04-05T03:23:59.930747+00:00,300,1.1396819096731108,1.05516484828479,-0.8451706138832069,3319.5,3.0,3319.5,3.0,3323.0,2.0,3325.5,5.0,3324.0,6.0,3318.0,8.0,3270.5,3.0,-49.0,-49.0
ETF,A,market_research_2026-04-04_22-23-04_live_round-news-4,2026-04-05T03:25:14.368937+00:00,600,1.05516484828479,1.056774042770555,0.01609194485764931,3207.5,3.0,3207.5,3.0,3207.5,3.0,3206.5,9.0,3204.0,6.0,3193.5,7.0,3179.5,3.0,-28.0,-28.0
ETF,C,market_research_2026-04-04_22-23-04_live_round-news-5,2026-04-05T03:25:14.380895+00:00,600,2.053235501002665,2.0323766743214744,,3207.5,3.0,3207.5,3.0,3207.5,3.0,3206.5,9.0,3204.0,6.0,3193.5,7.0,3179.5,3.0,-28.0,-28.0
ETF,A,market_research_2026-04-04_22-23-04_live_round-news-6,2026-04-05T03:26:11.126910+00:00,750,1.056774042770555,0.969343952194596,-0.8743009057595899,3245.0,6.0,3245.0,6.0,3245.0,6.0,3240.5,1.0,3240.5,1.0,3239.0,2.0,3218.0,4.0,-27.0,-27.0
ETF,A,market_research_2026-04-04_22-23-04_live_round-news-7,2026-04-05T03:28:47.289204+00:00,1050,0.969343952194596,1.1637403844963423,1.9439643230174646,3150.5,3.0,3157.0,-10.0,3156.5,-9.0,3154.0,12.0,3160.0,-2.0,3164.5,7.0,3177.5,9.0,27.0,27.0
