news_id,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,kind,symbol,structured_subtype,earnings_asset,earnings_value,affected_symbols_json,raw_content,normalized_content,parsed_sentiment,parsed_signal_strength,previous_known_eps_for_asset,new_known_eps_for_asset,inferred_fair_price_before,inferred_fair_price_after,note
market_research_2026-04-04_22-23-04_live_round-news-1,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:23:29.547899+00:00,1775359409547899000,175119879468208,150,,,structured,A,earnings,A,1.1396819096731108,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.1396819096731108}",,,,1.1396819096731108,,11.396819096731107,Structured earnings for A.
market_research_2026-04-04_22-23-04_live_round-news-2,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:23:29.549652+00:00,1775359409549652000,175119881221291,150,,,structured,C,earnings,C,2.053235501002665,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.053235501002665}",,,,2.053235501002665,,,Structured earnings for C.
market_research_2026-04-04_22-23-04_live_round-news-3,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:23:59.930747+00:00,1775359439930747000,175150262379791,300,,,structured,A,earnings,A,1.05516484828479,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.05516484828479}",,,1.1396819096731108,1.05516484828479,11.396819096731107,10.551648482847899,Structured earnings for A.
market_research_2026-04-04_22-23-04_live_round-news-4,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:25:14.368937+00:00,1775359514368937000,175224700724291,600,,,structured,A,earnings,A,1.056774042770555,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.056774042770555}",,,1.05516484828479,1.056774042770555,10.551648482847899,10.56774042770555,Structured earnings for A.
market_research_2026-04-04_22-23-04_live_round-news-5,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:25:14.380895+00:00,1775359514380895000,175224712681958,600,,,structured,C,earnings,C,2.0323766743214744,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.0323766743214744}",,,2.053235501002665,2.0323766743214744,,,Structured earnings for C.
market_research_2026-04-04_22-23-04_live_round-news-6,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:26:11.126910+00:00,1775359571126910000,175281458815541,750,,,structured,A,earnings,A,0.969343952194596,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.969343952194596}",,,1.056774042770555,0.969343952194596,10.56774042770555,9.69343952194596,Structured earnings for A.
market_research_2026-04-04_22-23-04_live_round-news-7,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:28:47.289204+00:00,1775359727289204000,175437621434916,1050,,,structured,A,earnings,A,1.1637403844963423,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.1637403844963423}",,,0.969343952194596,1.1637403844963423,9.69343952194596,11.637403844963423,Structured earnings for A.
market_research_2026-04-04_22-23-04_live_round-news-8,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:28:47.303749+00:00,1775359727303749000,175437635979833,1050,,,structured,C,earnings,C,2.055415039913151,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.055415039913151}",,,2.0323766743214744,2.055415039913151,,,Structured earnings for C.
market_research_2026-04-04_22-23-04_live_round-news-9,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:30:22.841822+00:00,1775359822841822000,175533174251500,1200,,,structured,A,earnings,A,1.044604063150129,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.044604063150129}",,,1.1637403844963423,1.044604063150129,11.637403844963423,10.44604063150129,Structured earnings for A.
market_research_2026-04-04_22-23-04_live_round-news-10,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:34:28.508139+00:00,1775360068508139000,175778841080541,1500,,,structured,A,earnings,A,0.7920303425873274,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.7920303425873274}",,,1.044604063150129,0.7920303425873274,10.44604063150129,7.920303425873274,Structured earnings for A.
market_research_2026-04-04_22-23-04_live_round-news-11,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:34:28.539357+00:00,1775360068539357000,175778872298458,1500,,,structured,C,earnings,C,2.0959920474171785,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.0959920474171785}",,,2.055415039913151,2.0959920474171785,,,Structured earnings for C.
market_research_2026-04-04_22-23-04_live_round-news-12,market_research_2026-04-04_22-23-04_live_round,c6abe590858247adbb3a88511acd7fc6,2026-04-05T03:36:35.958435+00:00,1775360195958435000,175906291641875,1650,,,structured,A,earnings,A,0.9665083661136648,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9665083661136648}",,,0.7920303425873274,0.9665083661136648,7.920303425873274,9.665083661136647,Structured earnings for A.
