event_index,event_type,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,best_bid_px,best_bid_qty,best_ask_px,best_ask_qty,mid_px,spread,microprice,top_of_book_imbalance,total_bid_depth_top_k,total_ask_depth_top_k,bid_levels_json,ask_levels_json,current_position_symbol,current_cash,last_trade_px_for_symbol,last_trade_qty_for_symbol,most_recent_news_id_affecting_symbol,seconds_since_last_news_for_symbol,inside_post_news_reaction_window
1,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.471749+00:00,1775365848471749000,181558809272750,,,,A,1291,52,1299,52,1295.0,8.0,1295.0,0.0,222,222,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1299,""qty"":52},{""px"":1300,""qty"":74},{""px"":1301,""qty"":96},{""px"":1302,""qty"":118},{""px"":1303,""qty"":140}]",0,0,,,,,False
123,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.585218+00:00,1775365848585218000,181558922742791,,,,A,1291,52,1299,52,1295.0,8.0,1295.0,0.0,222,222,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1299,""qty"":52},{""px"":1300,""qty"":74},{""px"":1301,""qty"":96},{""px"":1302,""qty"":118},{""px"":1303,""qty"":140}]",0,0,,,,,False
124,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.585323+00:00,1775365848585323000,181558922847708,,,,A,1291,52,1294,52,1292.5,3.0,1292.5,0.0,222,178,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1294,""qty"":52},{""px"":1299,""qty"":52},{""px"":1300,""qty"":74},{""px"":1301,""qty"":96},{""px"":1302,""qty"":118}]",0,0,,,,,False
125,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.585427+00:00,1775365848585427000,181558922952000,,,,A,1291,52,1294,52,1292.5,3.0,1292.5,0.0,222,178,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1294,""qty"":52},{""px"":1299,""qty"":52},{""px"":1300,""qty"":74},{""px"":1301,""qty"":96},{""px"":1302,""qty"":118}]",0,0,,,,,False
126,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.585534+00:00,1775365848585534000,181558923058416,,,,A,1291,52,1294,52,1292.5,3.0,1292.5,0.0,222,178,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1294,""qty"":52},{""px"":1295,""qty"":74},{""px"":1299,""qty"":52},{""px"":1300,""qty"":74},{""px"":1301,""qty"":96}]",0,0,,,,,False
127,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.585639+00:00,1775365848585639000,181558923163541,,,,A,1291,52,1294,52,1292.5,3.0,1292.5,0.0,222,178,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1294,""qty"":52},{""px"":1295,""qty"":74},{""px"":1299,""qty"":52},{""px"":1300,""qty"":74},{""px"":1301,""qty"":96}]",0,0,,,,,False
128,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.585748+00:00,1775365848585748000,181558923272541,,,,A,1291,52,1294,52,1292.5,3.0,1292.5,0.0,222,222,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1294,""qty"":52},{""px"":1295,""qty"":74},{""px"":1296,""qty"":96},{""px"":1299,""qty"":52},{""px"":1300,""qty"":74}]",0,0,,,,,False
129,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.585853+00:00,1775365848585853000,181558923377500,,,,A,1291,52,1294,52,1292.5,3.0,1292.5,0.0,222,222,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1294,""qty"":52},{""px"":1295,""qty"":74},{""px"":1296,""qty"":96},{""px"":1299,""qty"":52},{""px"":1300,""qty"":74}]",0,0,,,,,False
130,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.585966+00:00,1775365848585966000,181558923491250,,,,A,1291,52,1294,52,1292.5,3.0,1292.5,0.0,222,222,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1294,""qty"":52},{""px"":1295,""qty"":74},{""px"":1296,""qty"":96},{""px"":1297,""qty"":118},{""px"":1299,""qty"":52}]",0,0,,,,,False
131,book_update,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:48.586069+00:00,1775365848586069000,181558923593750,,,,A,1291,52,1294,52,1292.5,3.0,1292.5,0.0,222,222,"[{""px"":1291,""qty"":52},{""px"":1290,""qty"":74},{""px"":1289,""qty"":96},{""px"":1288,""qty"":118},{""px"":1287,""qty"":368}]","[{""px"":1294,""qty"":52},{""px"":1295,""qty"":74},{""px"":1296,""qty"":96},{""px"":1297,""qty"":118},{""px"":1299,""qty"":52}]",0,0,,,,,False
