event_index,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,trade_px,trade_qty,mid_at_trade,spread_at_trade,time_since_last_symbol_news,latest_known_eps_for_symbol
1297,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:50.200646+00:00,1775365850200646000,181560538173666,,,,A,1255,52,1255.0,0.0,,
7757,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:59.178095+00:00,1775365859178095000,181569515638750,,,,A,1212,52,1213.5,-3.0,,
7758,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:59.178208+00:00,1775365859178208000,181569515751708,,,,A,1213,74,1213.5,-3.0,,
7759,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:59.178296+00:00,1775365859178296000,181569515839833,,,,A,1214,96,1213.5,-3.0,,
7760,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:10:59.178386+00:00,1775365859178386000,181569515929791,,,,A,1215,118,1213.5,-3.0,,
16493,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:14.375052+00:00,1775365874375052000,181584712623291,375,,,A,1194,52,1190.5,-7.0,,
16494,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:14.375152+00:00,1775365874375152000,181584712723958,375,,,A,1193,74,1190.5,-7.0,,
16495,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:14.375245+00:00,1775365874375245000,181584712816166,375,,,A,1192,96,1190.5,-7.0,,
16496,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:14.375343+00:00,1775365874375343000,181584712914333,375,,,A,1191,118,1190.5,-7.0,,
16497,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:14.375433+00:00,1775365874375433000,181584713004625,375,,,A,1190,140,1190.5,-7.0,,
16498,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:11:14.375514+00:00,1775365874375514000,181584713085958,375,,,A,1189,23,1190.5,-7.0,,
34182,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:12.009980+00:00,1775365932009980000,181642347656541,500,,,A,1203,52,1202.0,-2.0,,
34183,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:12.010082+00:00,1775365932010082000,181642347759041,500,,,A,1202,74,1202.0,-2.0,,
34184,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:12.010169+00:00,1775365932010169000,181642347845708,500,,,A,1201,96,1202.0,-2.0,,
37378,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:26.405898+00:00,1775365946405898000,181656743600583,550,,,A,1203,52,1200.5,-5.0,,
37379,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:26.407384+00:00,1775365946407384000,181656745087208,550,,,A,1202,74,1200.5,-5.0,,
37380,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:26.407470+00:00,1775365946407470000,181656745173083,550,,,A,1201,96,1200.5,-5.0,,
37381,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:26.407552+00:00,1775365946407552000,181656745254833,550,,,A,1200,118,1200.5,-5.0,,
37382,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:26.407635+00:00,1775365946407635000,181656745338250,550,,,A,1199,140,1200.5,-5.0,,
37383,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:26.407716+00:00,1775365946407716000,181656745419208,550,,,A,1198,23,1200.5,-5.0,,
43814,market_research_2026-04-05_00-10-48_live_round,5308b7fe59c84166831e81c63b50bde3,2026-04-05T05:12:59.737406+00:00,1775365979737406000,181690075169125,600,,,A,1199,52,1201.5,-5.0,8.616862709,0.9150930058312388
