plot_symbol,earnings_asset,news_message_index,exchange_tick,exchange_time_ms,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A,A,,3300,660000.0,,1.0802170919175609,,1077.0,4.0,,,,,,,,,,,,,,
A,A,,3450,690000.0,1.0802170919175609,0.9952676578577768,-0.8494943405978406,1077.0,4.0,,,,,,,,,,,,,,
A,A,,3750,750000.0,0.9952676578577768,0.8911342421617461,-1.0413341569603074,1077.0,4.0,,,,,,,,,,,,,,
A,A,,3900,780000.0,0.8911342421617461,1.0430196697120586,1.5188542755031254,1077.0,4.0,,,,,,,,,,,,,,
C,C,,3300,660000.0,,2.224278910754846,,1109.0,6.0,,,,,,,,,,,,,,
C,C,,3750,750000.0,2.224278910754846,2.2614423356340243,,1109.0,6.0,,,,,,,,,,,,,,
ETF,A,,3300,660000.0,,1.0802170919175609,,3168.5,5.0,,,,,,,,,,,,,,
ETF,C,,3300,660000.0,,2.224278910754846,,3168.5,5.0,,,,,,,,,,,,,,
ETF,A,,3450,690000.0,1.0802170919175609,0.9952676578577768,-0.8494943405978406,3168.5,5.0,,,,,,,,,,,,,,
ETF,A,,3750,750000.0,0.9952676578577768,0.8911342421617461,-1.0413341569603074,3168.5,5.0,,,,,,,,,,,,,,
ETF,C,,3750,750000.0,2.224278910754846,2.2614423356340243,,3168.5,5.0,,,,,,,,,,,,,,
ETF,A,,3900,780000.0,0.8911342421617461,1.0430196697120586,1.5188542755031254,3168.5,5.0,,,,,,,,,,,,,,
