news_callback_id,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,kind,symbol,message_type,structured_subtype,earnings_asset,earnings_value,affected_symbols_json,raw_content,normalized_content,kept_in_raw_news_events,kept_news_id,drop_reason,note
market_research_2026-04-05_01-41-23_live_round-news-callback-1,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:41:27.188065+00:00,1775371287188065000,186997534049291,50,,,unstructured,,FedSpeak,,,,[],Fed emphasizes inflation risks; markets reassess path of cuts.,"{""content"":""Fed emphasizes inflation risks; markets reassess path of cuts."",""type"":""FedSpeak""}",False,,Unstructured news ignored.,Unstructured news ignored.
market_research_2026-04-05_01-41-23_live_round-news-callback-2,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:41:37.392115+00:00,1775371297392115000,187007738066250,100,,,structured,,,cpi_print,,,[],,"{""actual"":0.001981396059723524,""forecast"":0.002469181375547428,""structured_subtype"":""cpi_print""}",False,,Structured news ignored because it is not earnings.,Structured news ignored because it is not earnings.
market_research_2026-04-05_01-41-23_live_round-news-callback-3,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:41:53.075513+00:00,1775371313075513000,187023421454250,150,,,structured,A,,earnings,A,0.9466572219743568,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9466572219743568}",True,market_research_2026-04-05_01-41-23_live_round-news-1,,Structured earnings for A.
market_research_2026-04-05_01-41-23_live_round-news-callback-4,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:41:53.081332+00:00,1775371313081332000,187023427273458,150,,,structured,C,,earnings,C,2.023212423647953,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.023212423647953}",True,market_research_2026-04-05_01-41-23_live_round-news-2,,Structured earnings for C.
market_research_2026-04-05_01-41-23_live_round-news-callback-5,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:42:03.324614+00:00,1775371323324614000,187033670562250,175,,,unstructured,,FedSpeak,,,,[],Fed keeps options open as inflation and growth signals conflict.,"{""content"":""Fed keeps options open as inflation and growth signals conflict."",""type"":""FedSpeak""}",False,,Unstructured news ignored.,Unstructured news ignored.
market_research_2026-04-05_01-41-23_live_round-news-callback-6,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:43:17.804789+00:00,1775371397804789000,187108150843333,300,,,structured,,,cpi_print,,,[],,"{""actual"":0.0013617296340687952,""forecast"":0.0021073112408825944,""structured_subtype"":""cpi_print""}",False,,Structured news ignored because it is not earnings.,Structured news ignored because it is not earnings.
market_research_2026-04-05_01-41-23_live_round-news-callback-7,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:43:17.804933+00:00,1775371397804933000,187108150986625,300,,,structured,A,,earnings,A,1.007166910068087,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.007166910068087}",True,market_research_2026-04-05_01-41-23_live_round-news-3,,Structured earnings for A.
market_research_2026-04-05_01-41-23_live_round-news-callback-8,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:44:21.284485+00:00,1775371461284485000,187171630637541,375,,,unstructured,,FedSpeak,,,,[],Markets await upcoming data; Fed communication remains cautious.,"{""content"":""Markets await upcoming data; Fed communication remains cautious."",""type"":""FedSpeak""}",False,,Unstructured news ignored.,Unstructured news ignored.
market_research_2026-04-05_01-41-23_live_round-news-callback-9,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:46:54.944121+00:00,1775371614944121000,187325290511333,500,,,unstructured,,FedSpeak,,,,[],Fed signals increasing confidence inflation is moving back to target.,"{""content"":""Fed signals increasing confidence inflation is moving back to target."",""type"":""FedSpeak""}",False,,Unstructured news ignored.,Unstructured news ignored.
market_research_2026-04-05_01-41-23_live_round-news-callback-10,market_research_2026-04-05_01-41-23_live_round,413d064b6f554bdf9cbb171019ed8626,2026-04-05T06:48:09.564477+00:00,1775371689564477000,187399910983916,550,,,structured,,,cpi_print,,,[],,"{""actual"":0.0013564127954375225,""forecast"":0.002150352135596945,""structured_subtype"":""cpi_print""}",False,,Structured news ignored because it is not earnings.,Structured news ignored because it is not earnings.
