message_index,symbol,side,px,dq
317788,A,BUY,1173,52
317791,A,SELL,1181,52
317792,A,BUY,1172,74
317794,A,SELL,1182,74
317797,A,BUY,1171,96
317802,A,SELL,1183,96
317803,A,BUY,1170,118
317812,A,SELL,1184,118
317814,A,BUY,1169,140
317815,A,SELL,1185,140
317830,A,BUY,1168,162
317833,A,SELL,1186,162
317848,A,BUY,1167,184
317855,A,SELL,1187,184
317856,A,BUY,1166,206
317857,A,SELL,1188,206
317858,A,BUY,1165,228
317859,A,SELL,1189,228
317860,A,BUY,1165,-228
317862,A,SELL,1189,-228
317864,A,BUY,1171,-52
317866,A,SELL,1179,-52
317868,A,BUY,1170,-74
317870,A,SELL,1180,-74
317872,A,BUY,1169,-96
317874,A,SELL,1181,-96
317876,A,BUY,1168,-118
317878,A,SELL,1182,-118
317880,A,BUY,1167,-140
317882,A,SELL,1183,-140
317884,A,BUY,1166,-162
317886,A,SELL,1184,-162
317888,A,BUY,1165,-184
317890,A,SELL,1185,-184
317892,A,BUY,1164,-206
317894,A,SELL,1186,-206
318301,A,BUY,1174,52
318308,A,SELL,1182,52
318317,A,BUY,1173,74
318318,A,SELL,1183,74
318353,A,BUY,1172,96
318354,A,SELL,1184,96
318355,A,BUY,1171,118
318356,A,SELL,1185,118
318357,A,BUY,1170,140
318358,A,SELL,1186,140
318359,A,BUY,1169,162
318360,A,SELL,1187,162
318361,A,BUY,1168,184
318362,A,SELL,1188,184
318363,A,BUY,1167,206
318364,A,SELL,1189,206
318365,A,BUY,1166,228
318366,A,SELL,1190,228
318367,A,BUY,1163,-228
318369,A,SELL,1187,-228
318371,A,BUY,1173,-52
318373,A,SELL,1181,-52
318375,A,BUY,1172,-74
318377,A,SELL,1182,-74
318379,A,BUY,1171,-96
318381,A,SELL,1183,-96
318383,A,BUY,1170,-118
318385,A,SELL,1184,-118
318387,A,BUY,1169,-140
318389,A,SELL,1185,-140
318391,A,BUY,1168,-162
318393,A,SELL,1186,-162
318395,A,BUY,1167,-184
318397,A,SELL,1187,-184
318399,A,BUY,1166,-206
318401,A,SELL,1188,-206
318769,A,BUY,1175,52
318770,A,SELL,1183,52
318771,A,BUY,1174,74
318793,A,SELL,1184,74
318822,A,BUY,1173,96
318823,A,SELL,1185,96
318824,A,BUY,1172,118
318825,A,SELL,1186,118
318826,A,BUY,1171,140
318827,A,SELL,1187,140
318828,A,BUY,1170,162
318829,A,SELL,1188,162
318830,A,BUY,1169,184
318831,A,SELL,1189,184
318832,A,BUY,1168,206
318833,A,SELL,1190,206
318834,A,BUY,1167,228
318835,A,SELL,1191,228
318836,A,BUY,1165,-228
318838,A,SELL,1189,-228
318840,A,BUY,1174,-52
318842,A,SELL,1182,-52
318844,A,BUY,1173,-74
318846,A,SELL,1183,-74
318848,A,BUY,1172,-96
318850,A,SELL,1184,-96
318852,A,BUY,1171,-118
318854,A,SELL,1185,-118
318856,A,BUY,1170,-140
318858,A,SELL,1186,-140
318860,A,BUY,1169,-162
318862,A,SELL,1187,-162
318864,A,BUY,1168,-184
318866,A,SELL,1188,-184
318868,A,BUY,1167,-206
318870,A,SELL,1189,-206
319269,A,BUY,1177,52
319273,A,SELL,1185,52
319277,A,BUY,1176,74
319290,A,SELL,1186,74
319305,A,BUY,1175,96
319314,A,SELL,1187,96
319315,A,BUY,1174,118
319316,A,SELL,1188,118
319317,A,BUY,1173,140
319318,A,SELL,1189,140
319319,A,BUY,1172,162
319320,A,SELL,1190,162
319321,A,BUY,1171,184
319322,A,SELL,1191,184
319323,A,BUY,1170,206
319324,A,SELL,1192,206
319325,A,BUY,1169,228
319326,A,SELL,1193,228
319327,A,BUY,1166,-228
319329,A,SELL,1190,-228
319331,A,BUY,1175,-52
319333,A,SELL,1183,-52
319335,A,BUY,1174,-74
319337,A,SELL,1184,-74
319339,A,BUY,1173,-96
319341,A,SELL,1185,-96
319343,A,BUY,1172,-118
319345,A,SELL,1186,-118
319347,A,BUY,1171,-140
319349,A,SELL,1187,-140
319351,A,BUY,1170,-162
319353,A,SELL,1188,-162
319355,A,BUY,1169,-184
319357,A,SELL,1189,-184
319359,A,BUY,1168,-206
319361,A,SELL,1190,-206
319733,A,BUY,1179,52
319737,A,SELL,1187,52
319743,A,BUY,1178,74
319747,A,SELL,1188,74
319755,A,BUY,1177,96
319760,A,SELL,1189,96
319773,A,BUY,1176,118
319788,A,SELL,1190,118
319789,A,BUY,1175,140
319790,A,SELL,1191,140
319791,A,BUY,1174,162
319792,A,SELL,1192,162
319793,A,BUY,1173,184
319794,A,SELL,1193,184
319795,A,BUY,1172,206
319796,A,SELL,1194,206
319797,A,BUY,1171,228
319798,A,SELL,1195,228
319799,A,BUY,1167,-228
319801,A,SELL,1191,-228
319803,A,BUY,1177,-52
319805,A,SELL,1185,-52
319807,A,BUY,1176,-74
319809,A,SELL,1186,-74
319811,A,BUY,1175,-96
319813,A,SELL,1187,-96
319815,A,BUY,1174,-118
319817,A,SELL,1188,-118
319819,A,BUY,1173,-140
319821,A,SELL,1189,-140
319823,A,BUY,1172,-162
319825,A,SELL,1190,-162
319827,A,BUY,1171,-184
319829,A,SELL,1191,-184
319831,A,BUY,1170,-206
319833,A,SELL,1192,-206
320202,A,BUY,1187,503
320207,A,BUY,1187,-52
320208,A,SELL,1187,-52
320209,A,BUY,1187,-451
320219,A,BUY,1176,52
320220,A,SELL,1184,52
320221,A,BUY,1175,74
320223,A,SELL,1185,74
320233,A,BUY,1174,96
320264,A,SELL,1186,96
320271,A,BUY,1173,118
320272,A,SELL,1187,118
320273,A,BUY,1172,140
320274,A,SELL,1188,140
320275,A,BUY,1171,162
320276,A,SELL,1189,162
320277,A,BUY,1170,184
320278,A,SELL,1190,184
320279,A,BUY,1169,206
320280,A,SELL,1191,206
320281,A,BUY,1168,228
320282,A,SELL,1192,228
320283,A,BUY,1169,-228
320285,A,SELL,1193,-228
320287,A,BUY,1179,-52
320290,A,BUY,1178,-74
320292,A,SELL,1188,-74
320294,A,BUY,1177,-96
320296,A,SELL,1189,-96
320298,A,BUY,1176,-118
320300,A,SELL,1190,-118
320302,A,BUY,1175,-140
320304,A,SELL,1191,-140
320306,A,BUY,1174,-162
320308,A,SELL,1192,-162
320310,A,BUY,1173,-184
320312,A,SELL,1193,-184
320314,A,BUY,1172,-206
320316,A,SELL,1194,-206
320717,A,BUY,1175,52
320720,A,SELL,1183,52
320728,A,BUY,1174,74
320731,A,SELL,1184,74
320732,A,BUY,1173,96
320739,A,SELL,1185,96
320746,A,BUY,1172,118
320759,A,SELL,1186,118
320764,A,BUY,1171,140
320773,A,SELL,1187,140
320774,A,BUY,1170,162
320777,A,SELL,1188,162
320778,A,BUY,1169,184
320779,A,SELL,1189,184
320780,A,BUY,1168,206
320781,A,SELL,1190,206
320782,A,BUY,1167,228
320783,A,SELL,1191,228
320784,A,BUY,1171,-228
320786,A,SELL,1195,-228
320788,A,BUY,1176,-52
320790,A,SELL,1184,-52
320792,A,BUY,1175,-74
320794,A,SELL,1185,-74
320796,A,BUY,1174,-96
320798,A,SELL,1186,-96
320800,A,BUY,1173,-118
320802,A,SELL,1187,-118
320804,A,BUY,1172,-140
320806,A,SELL,1188,-140
320808,A,BUY,1171,-162
320810,A,SELL,1189,-162
320812,A,BUY,1170,-184
320814,A,SELL,1190,-184
320816,A,BUY,1169,-206
320818,A,SELL,1191,-206
321184,A,BUY,1189,503
321209,A,BUY,1189,-503
321210,A,SELL,1184,-74
321211,A,SELL,1185,-96
321212,A,SELL,1186,-118
321213,A,SELL,1183,-52
321214,A,SELL,1188,-162
321215,A,SELL,1187,-1
321218,A,BUY,1178,52
321219,A,SELL,1186,52
321222,A,BUY,1177,74
321228,A,SELL,1187,74
321237,A,BUY,1176,96
321238,A,SELL,1188,96
321239,A,BUY,1175,118
321250,A,SELL,1189,118
321271,A,BUY,1174,140
321280,A,SELL,1190,140
321281,A,BUY,1173,162
321282,A,SELL,1191,162
321283,A,BUY,1172,184
321284,A,SELL,1192,184
321285,A,BUY,1171,206
321286,A,SELL,1193,206
321287,A,BUY,1170,228
321288,A,SELL,1194,228
321289,A,BUY,1168,-228
321291,A,SELL,1192,-228
321293,A,BUY,1175,-52
321296,A,BUY,1174,-74
321299,A,BUY,1173,-96
321302,A,BUY,1172,-118
321305,A,BUY,1171,-140
321307,A,SELL,1187,-139
321309,A,BUY,1170,-162
321312,A,BUY,1169,-184
321314,A,SELL,1189,-184
321316,A,BUY,1168,-206
321318,A,SELL,1190,-206
321691,A,BUY,1178,52
321699,A,SELL,1186,52
321712,A,BUY,1177,74
321719,A,SELL,1187,74
321738,A,BUY,1176,96
321749,A,SELL,1188,96
321750,A,BUY,1175,118
321751,A,SELL,1189,118
321752,A,BUY,1174,140
321753,A,SELL,1190,140
321754,A,BUY,1173,162
321755,A,SELL,1191,162
321756,A,BUY,1172,184
321757,A,SELL,1192,184
321758,A,BUY,1171,206
321759,A,SELL,1193,206
321760,A,BUY,1170,228
321761,A,SELL,1194,228
321762,A,BUY,1167,-228
321764,A,SELL,1191,-228
321766,A,BUY,1178,-52
321768,A,SELL,1186,-52
321770,A,BUY,1177,-74
321772,A,SELL,1187,-74
321774,A,BUY,1176,-96
321776,A,SELL,1188,-96
321778,A,BUY,1175,-118
321780,A,SELL,1189,-118
321782,A,BUY,1174,-140
321784,A,SELL,1190,-140
321786,A,BUY,1173,-162
321788,A,SELL,1191,-162
321790,A,BUY,1172,-184
321792,A,SELL,1192,-184
321794,A,BUY,1171,-206
321796,A,SELL,1193,-206
322175,A,BUY,1176,52
322176,A,SELL,1184,52
322181,A,BUY,1175,74
322186,A,SELL,1185,74
322202,A,BUY,1174,96
322205,A,SELL,1186,96
322208,A,BUY,1173,118
322213,A,SELL,1187,118
322230,A,BUY,1172,140
322231,A,SELL,1188,140
322232,A,BUY,1171,162
322233,A,SELL,1189,162
322234,A,BUY,1170,184
322235,A,SELL,1190,184
322236,A,BUY,1169,206
322237,A,SELL,1191,206
322238,A,BUY,1168,228
322239,A,SELL,1192,228
322240,A,BUY,1170,-228
322242,A,SELL,1194,-228
322244,A,BUY,1178,-52
322246,A,SELL,1186,-52
322248,A,BUY,1177,-74
322250,A,SELL,1187,-74
322252,A,BUY,1176,-96
322254,A,SELL,1188,-96
322256,A,BUY,1175,-118
322258,A,SELL,1189,-118
322260,A,BUY,1174,-140
322262,A,SELL,1190,-140
322264,A,BUY,1173,-162
322266,A,SELL,1191,-162
322268,A,BUY,1172,-184
322270,A,SELL,1192,-184
322272,A,BUY,1171,-206
322274,A,SELL,1193,-206
322648,A,BUY,1176,52
322653,A,SELL,1184,52
322657,A,BUY,1175,74
322669,A,SELL,1185,74
322676,A,BUY,1174,96
322705,A,SELL,1186,96
322706,A,BUY,1173,118
322707,A,SELL,1187,118
322708,A,BUY,1172,140
322709,A,SELL,1188,140
322710,A,BUY,1171,162
322711,A,SELL,1189,162
322712,A,BUY,1170,184
322713,A,SELL,1190,184
322714,A,BUY,1169,206
322715,A,SELL,1191,206
322716,A,BUY,1168,228
322717,A,SELL,1192,228
322718,A,BUY,1170,-228
322720,A,SELL,1194,-228
322722,A,BUY,1176,-52
322724,A,SELL,1184,-52
322726,A,BUY,1175,-74
322728,A,SELL,1185,-74
322730,A,BUY,1174,-96
322732,A,SELL,1186,-96
322734,A,BUY,1173,-118
322736,A,SELL,1187,-118
322738,A,BUY,1172,-140
322740,A,SELL,1188,-140
322742,A,BUY,1171,-162
322744,A,SELL,1189,-162
322746,A,BUY,1170,-184
322748,A,SELL,1190,-184
322750,A,BUY,1169,-206
322752,A,SELL,1191,-206
323146,A,BUY,1172,52
323151,A,SELL,1180,52
323154,A,BUY,1171,74
323156,A,SELL,1181,74
323166,A,BUY,1170,96
323167,A,SELL,1182,96
323174,A,BUY,1169,118
323187,A,SELL,1183,118
323194,A,BUY,1168,140
323201,A,SELL,1184,140
323202,A,BUY,1167,162
323209,A,SELL,1185,162
323210,A,BUY,1166,184
323211,A,SELL,1186,184
323212,A,BUY,1165,206
323213,A,SELL,1187,206
323214,A,BUY,1164,228
323215,A,SELL,1188,228
323216,A,BUY,1168,-228
323218,A,SELL,1192,-228
323220,A,BUY,1176,-52
323222,A,SELL,1184,-52
323224,A,BUY,1175,-74
323226,A,SELL,1185,-74
323228,A,BUY,1174,-96
323230,A,SELL,1186,-96
323232,A,BUY,1173,-118
323234,A,SELL,1187,-118
323236,A,BUY,1172,-140
323238,A,SELL,1188,-140
323240,A,BUY,1171,-162
323242,A,SELL,1189,-162
323244,A,BUY,1170,-184
323246,A,SELL,1190,-184
323248,A,BUY,1169,-206
323250,A,SELL,1191,-206
323624,A,BUY,1173,52
323630,A,SELL,1181,52
323634,A,BUY,1172,74
323635,A,SELL,1182,74
323639,A,BUY,1171,96
323646,A,SELL,1183,96
323657,A,BUY,1170,118
323680,A,SELL,1184,118
323681,A,BUY,1169,140
323682,A,SELL,1185,140
323683,A,BUY,1168,162
323684,A,SELL,1186,162
323685,A,BUY,1167,184
323686,A,SELL,1187,184
323687,A,BUY,1166,206
323688,A,SELL,1188,206
323689,A,BUY,1165,228
323690,A,SELL,1189,228
323691,A,BUY,1168,-228
323693,A,SELL,1192,-228
323695,A,BUY,1172,-52
323697,A,SELL,1180,-52
323699,A,BUY,1171,-74
323701,A,SELL,1181,-74
323703,A,BUY,1170,-96
323705,A,SELL,1182,-96
323707,A,BUY,1169,-118
323709,A,SELL,1183,-118
323711,A,BUY,1168,-140
323713,A,SELL,1184,-140
323715,A,BUY,1167,-162
323717,A,SELL,1185,-162
323719,A,BUY,1166,-184
323721,A,SELL,1186,-184
323723,A,BUY,1165,-206
323725,A,SELL,1187,-206
324099,A,BUY,1171,52
324106,A,SELL,1179,52
324108,A,BUY,1170,74
324114,A,SELL,1180,74
324119,A,BUY,1169,96
324128,A,SELL,1181,96
324137,A,BUY,1168,118
324148,A,SELL,1182,118
324159,A,BUY,1167,140
324160,A,SELL,1183,140
324161,A,BUY,1166,162
324162,A,SELL,1184,162
324163,A,BUY,1165,184
324164,A,SELL,1185,184
324165,A,BUY,1164,206
324166,A,SELL,1186,206
324167,A,BUY,1163,228
324168,A,SELL,1187,228
324169,A,BUY,1164,-228
324171,A,SELL,1188,-228
324173,A,BUY,1173,-52
324175,A,SELL,1181,-52
324177,A,BUY,1172,-74
324179,A,SELL,1182,-74
324181,A,BUY,1171,-96
324183,A,SELL,1183,-96
324185,A,BUY,1170,-118
324187,A,SELL,1184,-118
324189,A,BUY,1169,-140
324191,A,SELL,1185,-140
324193,A,BUY,1168,-162
324195,A,SELL,1186,-162
324197,A,BUY,1167,-184
324199,A,SELL,1187,-184
324201,A,BUY,1166,-206
324203,A,SELL,1188,-206
324577,A,BUY,1168,52
324578,A,SELL,1176,52
324584,A,BUY,1167,74
324592,A,SELL,1177,74
324593,A,BUY,1166,96
324604,A,SELL,1178,96
324613,A,BUY,1165,118
324614,A,SELL,1179,118
324637,A,BUY,1164,140
324638,A,SELL,1180,140
324639,A,BUY,1163,162
324640,A,SELL,1181,162
324641,A,BUY,1162,184
324642,A,SELL,1182,184
324643,A,BUY,1161,206
324644,A,SELL,1183,206
324645,A,BUY,1160,228
324646,A,SELL,1184,228
324647,A,BUY,1165,-228
324649,A,SELL,1189,-228
324651,A,BUY,1171,-52
324653,A,SELL,1179,-52
324655,A,BUY,1170,-74
324657,A,SELL,1180,-74
324659,A,BUY,1169,-96
324661,A,SELL,1181,-96
324663,A,BUY,1168,-118
324665,A,SELL,1182,-118
324667,A,BUY,1167,-140
324669,A,SELL,1183,-140
324671,A,BUY,1166,-162
324673,A,SELL,1184,-162
324675,A,BUY,1165,-184
324677,A,SELL,1185,-184
324679,A,BUY,1164,-206
324681,A,SELL,1186,-206
325065,A,BUY,1166,52
325066,A,SELL,1174,52
325071,A,BUY,1165,74
325077,A,SELL,1175,74
325088,A,BUY,1164,96
325089,A,SELL,1176,96
325102,A,BUY,1163,118
325103,A,SELL,1177,118
325114,A,BUY,1162,140
325115,A,SELL,1178,140
325116,A,BUY,1161,162
325117,A,SELL,1179,162
325118,A,BUY,1160,184
325119,A,SELL,1180,184
325120,A,BUY,1159,206
325121,A,SELL,1181,206
325122,A,BUY,1158,228
325123,A,SELL,1182,228
325124,A,BUY,1163,-228
325126,A,SELL,1187,-228
325128,A,BUY,1168,-52
325130,A,SELL,1176,-52
325132,A,BUY,1167,-74
325134,A,SELL,1177,-74
325136,A,BUY,1166,-96
325138,A,SELL,1178,-96
325140,A,BUY,1165,-118
325142,A,SELL,1179,-118
325144,A,BUY,1164,-140
325146,A,SELL,1180,-140
325148,A,BUY,1163,-162
325150,A,SELL,1181,-162
325152,A,BUY,1162,-184
325154,A,SELL,1182,-184
325156,A,BUY,1161,-206
325158,A,SELL,1183,-206
325543,A,BUY,1168,52
325549,A,SELL,1176,52
325558,A,BUY,1167,74
325562,A,SELL,1177,74
325569,A,BUY,1166,96
325572,A,SELL,1178,96
325579,A,BUY,1165,118
325586,A,SELL,1179,118
325587,A,BUY,1164,140
325588,A,SELL,1180,140
325589,A,BUY,1163,162
325592,A,SELL,1181,162
325597,A,BUY,1162,184
325600,A,SELL,1182,184
325601,A,BUY,1161,206
325602,A,SELL,1183,206
325607,A,BUY,1160,228
325614,A,SELL,1184,228
325615,A,BUY,1160,-228
325617,A,SELL,1184,-228
325619,A,BUY,1166,-52
325621,A,SELL,1174,-52
325623,A,BUY,1165,-74
325625,A,SELL,1175,-74
325627,A,BUY,1164,-96
325629,A,SELL,1176,-96
325631,A,BUY,1163,-118
