message_index,symbol,side,px,dq
318019,B,BUY,962,52
318020,B,SELL,970,52
318021,B,BUY,961,74
318022,B,SELL,971,74
318023,B,BUY,960,96
318024,B,SELL,972,96
318025,B,BUY,959,118
318026,B,SELL,973,118
318029,B,BUY,958,140
318030,B,SELL,974,140
318031,B,BUY,957,162
318033,B,SELL,975,162
318034,B,BUY,956,184
318035,B,SELL,976,184
318037,B,BUY,955,206
318038,B,SELL,977,206
318039,B,BUY,954,228
318040,B,SELL,978,228
318041,B,BUY,955,-228
318043,B,SELL,979,-228
318047,B,BUY,962,-52
318049,B,SELL,970,-52
318051,B,BUY,961,-74
318053,B,SELL,971,-74
318056,B,BUY,960,-96
318060,B,SELL,972,-96
318062,B,BUY,959,-118
318064,B,SELL,973,-118
318066,B,BUY,958,-140
318068,B,SELL,974,-140
318070,B,BUY,957,-162
318072,B,SELL,975,-162
318074,B,BUY,956,-184
318077,B,SELL,976,-184
318079,B,BUY,955,-206
318081,B,SELL,977,-206
318526,B,BUY,961,52
318529,B,SELL,969,52
318530,B,BUY,960,74
318531,B,SELL,970,74
318532,B,BUY,959,96
318534,B,SELL,971,96
318539,B,BUY,958,118
318542,B,SELL,972,118
318543,B,BUY,957,140
318544,B,SELL,973,140
318547,B,BUY,956,162
318548,B,SELL,974,162
318549,B,BUY,955,184
318550,B,SELL,975,184
318551,B,BUY,954,206
318552,B,SELL,976,206
318553,B,BUY,953,228
318554,B,SELL,977,228
318555,B,BUY,954,-228
318557,B,SELL,978,-228
318559,B,BUY,962,-52
318561,B,SELL,970,-52
318563,B,BUY,961,-74
318565,B,SELL,971,-74
318567,B,BUY,960,-96
318569,B,SELL,972,-96
318571,B,BUY,959,-118
318573,B,SELL,973,-118
318577,B,BUY,958,-140
318579,B,SELL,974,-140
318581,B,BUY,957,-162
318583,B,SELL,975,-162
318585,B,BUY,956,-184
318587,B,SELL,976,-184
318589,B,BUY,955,-206
318591,B,SELL,977,-206
318995,B,BUY,962,52
318997,B,SELL,970,52
318998,B,BUY,961,74
319000,B,SELL,971,74
319002,B,BUY,960,96
319003,B,SELL,972,96
319004,B,BUY,959,118
319005,B,SELL,973,118
319006,B,BUY,958,140
319007,B,SELL,974,140
319008,B,BUY,957,162
319009,B,SELL,975,162
319010,B,BUY,956,184
319011,B,SELL,976,184
319012,B,BUY,955,206
319013,B,SELL,977,206
319015,B,BUY,954,228
319016,B,SELL,978,228
319017,B,BUY,954,-228
319019,B,SELL,978,-228
319021,B,BUY,961,-52
319023,B,SELL,969,-52
319025,B,BUY,960,-74
319027,B,SELL,970,-74
319029,B,BUY,959,-96
319031,B,SELL,971,-96
319033,B,BUY,958,-118
319035,B,SELL,972,-118
319038,B,BUY,957,-140
319043,B,SELL,973,-140
319045,B,BUY,956,-162
319047,B,SELL,974,-162
319049,B,BUY,955,-184
319051,B,SELL,975,-184
319053,B,BUY,954,-206
319055,B,SELL,976,-206
319487,B,BUY,960,52
319488,B,SELL,968,52
319489,B,BUY,959,74
319490,B,SELL,969,74
319491,B,BUY,958,96
319492,B,SELL,970,96
319494,B,BUY,957,118
319495,B,SELL,971,118
319496,B,BUY,956,140
319497,B,SELL,972,140
319498,B,BUY,955,162
319499,B,SELL,973,162
319501,B,BUY,954,184
319502,B,SELL,974,184
319503,B,BUY,953,206
319504,B,SELL,975,206
319505,B,BUY,952,228
319506,B,SELL,976,228
319507,B,BUY,953,-228
319509,B,SELL,977,-228
319511,B,BUY,962,-52
319513,B,SELL,970,-52
319516,B,BUY,961,-74
319518,B,SELL,971,-74
319522,B,BUY,960,-96
319524,B,SELL,972,-96
319526,B,BUY,959,-118
319528,B,SELL,973,-118
319530,B,BUY,958,-140
319532,B,SELL,974,-140
319534,B,BUY,957,-162
319537,B,SELL,975,-162
319539,B,BUY,956,-184
319543,B,SELL,976,-184
319546,B,BUY,955,-206
319548,B,SELL,977,-206
319960,B,BUY,961,52
319961,B,SELL,969,52
319962,B,BUY,960,74
319965,B,SELL,970,74
319966,B,BUY,959,96
319968,B,SELL,971,96
319971,B,BUY,958,118
319972,B,SELL,972,118
319973,B,BUY,957,140
319976,B,SELL,973,140
319977,B,BUY,956,162
319978,B,SELL,974,162
319979,B,BUY,955,184
319980,B,SELL,975,184
319981,B,BUY,954,206
319984,B,SELL,976,206
319988,B,BUY,953,228
319989,B,SELL,977,228
319990,B,BUY,954,-228
319992,B,SELL,978,-228
319994,B,BUY,960,-52
319996,B,SELL,968,-52
319998,B,BUY,959,-74
320000,B,SELL,969,-74
320002,B,BUY,958,-96
320004,B,SELL,970,-96
320006,B,BUY,957,-118
320009,B,SELL,971,-118
320011,B,BUY,956,-140
320013,B,SELL,972,-140
320017,B,BUY,955,-162
320019,B,SELL,973,-162
320022,B,BUY,954,-184
320024,B,SELL,974,-184
320026,B,BUY,953,-206
320028,B,SELL,975,-206
320441,B,BUY,962,52
320442,B,SELL,970,52
320444,B,BUY,961,74
320445,B,SELL,971,74
320446,B,BUY,960,96
320447,B,SELL,972,96
320448,B,BUY,959,118
320449,B,SELL,973,118
320450,B,BUY,958,140
320451,B,SELL,974,140
320452,B,BUY,957,162
320455,B,SELL,975,162
320456,B,BUY,956,184
320457,B,SELL,976,184
320458,B,BUY,955,206
320459,B,SELL,977,206
320460,B,BUY,954,228
320463,B,SELL,978,228
320464,B,BUY,952,-228
320466,B,SELL,976,-228
320468,B,BUY,961,-52
320470,B,SELL,969,-52
320472,B,BUY,960,-74
320474,B,SELL,970,-74
320476,B,BUY,959,-96
320479,B,SELL,971,-96
320481,B,BUY,958,-118
320483,B,SELL,972,-118
320486,B,BUY,957,-140
320488,B,SELL,973,-140
320490,B,BUY,956,-162
320492,B,SELL,974,-162
320494,B,BUY,955,-184
320497,B,SELL,975,-184
320499,B,BUY,954,-206
320501,B,SELL,976,-206
320944,B,BUY,961,52
320945,B,SELL,969,52
320946,B,BUY,960,74
320947,B,SELL,970,74
320948,B,BUY,959,96
320949,B,SELL,971,96
320950,B,BUY,958,118
320951,B,SELL,972,118
320952,B,BUY,957,140
320953,B,SELL,973,140
320955,B,BUY,956,162
