message_index,symbol,side,px,dq
318163,C,BUY,875,52
318164,C,SELL,883,52
318165,C,BUY,874,74
318166,C,SELL,884,74
318167,C,BUY,873,96
318168,C,SELL,885,96
318169,C,BUY,872,118
318170,C,SELL,886,118
318171,C,BUY,871,140
318172,C,SELL,887,140
318173,C,BUY,870,162
318174,C,SELL,888,162
318175,C,BUY,869,184
318176,C,SELL,889,184
318177,C,BUY,868,206
318178,C,SELL,890,206
318179,C,BUY,867,228
318180,C,SELL,891,228
318181,C,BUY,867,-228
318183,C,SELL,891,-228
318185,C,BUY,874,-52
318187,C,SELL,882,-52
318189,C,BUY,873,-74
318191,C,SELL,883,-74
318193,C,BUY,872,-96
318195,C,SELL,884,-96
318197,C,BUY,871,-118
318199,C,SELL,885,-118
318201,C,BUY,870,-140
318203,C,SELL,886,-140
318205,C,BUY,869,-162
318207,C,SELL,887,-162
318209,C,BUY,868,-184
318211,C,SELL,888,-184
318213,C,BUY,867,-206
318215,C,SELL,889,-206
318665,C,BUY,873,52
318666,C,SELL,881,52
318667,C,BUY,872,74
318668,C,SELL,882,74
318669,C,BUY,871,96
318670,C,SELL,883,96
318671,C,BUY,870,118
318672,C,SELL,884,118
318673,C,BUY,869,140
318674,C,SELL,885,140
318675,C,BUY,868,162
318676,C,SELL,886,162
318677,C,BUY,867,184
318678,C,SELL,887,184
318679,C,BUY,866,206
318680,C,SELL,888,206
318681,C,BUY,865,228
318682,C,SELL,889,228
318683,C,BUY,866,-228
318685,C,SELL,890,-228
318687,C,BUY,875,-52
318689,C,SELL,883,-52
318691,C,BUY,874,-74
318693,C,SELL,884,-74
318695,C,BUY,873,-96
318697,C,SELL,885,-96
318699,C,BUY,872,-118
318701,C,SELL,886,-118
318703,C,BUY,871,-140
318705,C,SELL,887,-140
318707,C,BUY,870,-162
318709,C,SELL,888,-162
318711,C,BUY,869,-184
318713,C,SELL,889,-184
318715,C,BUY,868,-206
318717,C,SELL,890,-206
319156,C,BUY,877,52
319157,C,SELL,885,52
319158,C,BUY,876,74
319159,C,SELL,886,74
319160,C,BUY,875,96
319161,C,SELL,887,96
319162,C,BUY,874,118
319163,C,SELL,888,118
319164,C,BUY,873,140
319165,C,SELL,889,140
319166,C,BUY,872,162
319167,C,SELL,890,162
319168,C,BUY,871,184
319169,C,SELL,891,184
319170,C,BUY,870,206
319171,C,SELL,892,206
319172,C,BUY,869,228
319173,C,SELL,893,228
319174,C,BUY,867,-228
319176,C,SELL,891,-228
319178,C,BUY,873,-52
319180,C,SELL,881,-52
319182,C,BUY,872,-74
319184,C,SELL,882,-74
319186,C,BUY,871,-96
319188,C,SELL,883,-96
319190,C,BUY,870,-118
319192,C,SELL,884,-118
319194,C,BUY,869,-140
319196,C,SELL,885,-140
319198,C,BUY,868,-162
319200,C,SELL,886,-162
319202,C,BUY,867,-184
319204,C,SELL,887,-184
319206,C,BUY,866,-206
319208,C,SELL,888,-206
319627,C,BUY,876,52
319628,C,SELL,884,52
319629,C,BUY,875,74
319630,C,SELL,885,74
319631,C,BUY,874,96
319632,C,SELL,886,96
319633,C,BUY,873,118
319634,C,SELL,887,118
319635,C,BUY,872,140
319636,C,SELL,888,140
319637,C,BUY,871,162
319638,C,SELL,889,162
319639,C,BUY,870,184
319640,C,SELL,890,184
319641,C,BUY,869,206
319642,C,SELL,891,206
319643,C,BUY,868,228
319644,C,SELL,892,228
319645,C,BUY,865,-228
319647,C,SELL,889,-228
319649,C,BUY,877,-52
319651,C,SELL,885,-52
319653,C,BUY,876,-74
319655,C,SELL,886,-74
319657,C,BUY,875,-96
319659,C,SELL,887,-96
319661,C,BUY,874,-118
319663,C,SELL,888,-118
319665,C,BUY,873,-140
319667,C,SELL,889,-140
319669,C,BUY,872,-162
319671,C,SELL,890,-162
319673,C,BUY,871,-184
319675,C,SELL,891,-184
319677,C,BUY,870,-206
319679,C,SELL,892,-206
320102,C,BUY,878,52
320103,C,SELL,886,52
320104,C,BUY,877,74
320105,C,SELL,887,74
320106,C,BUY,876,96
320107,C,SELL,888,96
320108,C,BUY,875,118
320109,C,SELL,889,118
320110,C,BUY,874,140
320111,C,SELL,890,140
320112,C,BUY,873,162
320113,C,SELL,891,162
320114,C,BUY,872,184
320115,C,SELL,892,184
320116,C,BUY,871,206
320117,C,SELL,893,206
320118,C,BUY,870,228
