message_index,symbol,side,px,dq
318109,ETF,BUY,3042,52
318110,ETF,SELL,3050,52
318111,ETF,BUY,3041,74
318112,ETF,SELL,3051,74
318113,ETF,BUY,3040,96
318114,ETF,SELL,3052,96
318115,ETF,BUY,3039,118
318116,ETF,SELL,3053,118
318117,ETF,BUY,3038,140
318118,ETF,SELL,3054,140
318119,ETF,BUY,3037,162
318120,ETF,SELL,3055,162
318121,ETF,BUY,3036,184
318122,ETF,SELL,3056,184
318123,ETF,BUY,3035,206
318124,ETF,SELL,3057,206
318125,ETF,BUY,3034,228
318126,ETF,SELL,3058,228
318127,ETF,BUY,3039,-228
318129,ETF,SELL,3063,-228
318131,ETF,BUY,3043,-52
318133,ETF,SELL,3051,-52
318135,ETF,BUY,3042,-74
318137,ETF,SELL,3052,-74
318139,ETF,BUY,3041,-96
318141,ETF,SELL,3053,-96
318143,ETF,BUY,3040,-118
318145,ETF,SELL,3054,-118
318147,ETF,BUY,3039,-140
318149,ETF,SELL,3055,-140
318151,ETF,BUY,3038,-162
318153,ETF,SELL,3056,-162
318155,ETF,BUY,3037,-184
318157,ETF,SELL,3057,-184
318159,ETF,BUY,3036,-206
318161,ETF,SELL,3058,-206
318262,ETF,SELL,3031,503
318287,ETF,BUY,3040,-96
318288,ETF,BUY,3042,-52
318289,ETF,BUY,3038,-140
318290,ETF,BUY,3039,-118
318291,ETF,BUY,3041,-74
318292,ETF,BUY,3037,-23
318293,ETF,SELL,3031,-503
318616,ETF,BUY,3034,52
318617,ETF,SELL,3042,52
318618,ETF,BUY,3033,74
318619,ETF,SELL,3043,74
318620,ETF,BUY,3032,96
318621,ETF,SELL,3044,96
318622,ETF,BUY,3031,118
318623,ETF,SELL,3045,118
318624,ETF,BUY,3030,140
318625,ETF,SELL,3046,140
318626,ETF,BUY,3029,162
318627,ETF,SELL,3047,162
318628,ETF,BUY,3028,184
318629,ETF,SELL,3048,184
318630,ETF,BUY,3027,206
318631,ETF,SELL,3049,206
318632,ETF,BUY,3026,228
318633,ETF,SELL,3050,228
318634,ETF,BUY,3035,-228
318636,ETF,SELL,3059,-228
318639,ETF,SELL,3050,-52
318642,ETF,SELL,3051,-74
318645,ETF,SELL,3052,-96
318648,ETF,SELL,3053,-118
318651,ETF,SELL,3054,-140
318653,ETF,BUY,3037,-139
318655,ETF,SELL,3055,-162
318657,ETF,BUY,3036,-184
318659,ETF,SELL,3056,-184
318661,ETF,BUY,3035,-206
318663,ETF,SELL,3057,-206
319085,ETF,BUY,3024,52
319086,ETF,SELL,3032,52
319091,ETF,BUY,3034,-52
319092,ETF,SELL,3032,-52
319093,ETF,BUY,3023,74
319094,ETF,SELL,3033,74
319099,ETF,BUY,3034,-74
319100,ETF,SELL,3033,-74
319101,ETF,BUY,3022,96
319102,ETF,SELL,3034,96
319107,ETF,BUY,3034,-96
319108,ETF,SELL,3034,-96
319109,ETF,BUY,3021,118
319110,ETF,SELL,3035,118
319111,ETF,BUY,3020,140
319112,ETF,SELL,3036,140
319113,ETF,BUY,3019,162
319114,ETF,SELL,3037,162
319115,ETF,BUY,3018,184
319116,ETF,SELL,3038,184
319117,ETF,BUY,3017,206
319118,ETF,SELL,3039,206
319119,ETF,BUY,3016,228
319120,ETF,SELL,3040,228
319121,ETF,BUY,3034,-58
319123,ETF,SELL,3058,-228
319126,ETF,SELL,3042,-52
319128,ETF,BUY,3033,-74
319130,ETF,SELL,3043,-74
319132,ETF,BUY,3032,-96
319134,ETF,SELL,3044,-96
319136,ETF,BUY,3031,-118
319138,ETF,SELL,3045,-118
319140,ETF,BUY,3030,-140
319142,ETF,SELL,3046,-140
319144,ETF,BUY,3029,-162
319146,ETF,SELL,3047,-162
319148,ETF,BUY,3028,-184
319150,ETF,SELL,3048,-184
319152,ETF,BUY,3027,-206
319154,ETF,SELL,3049,-206
319576,ETF,BUY,3026,52
319577,ETF,SELL,3034,52
319578,ETF,BUY,3025,74
319579,ETF,SELL,3035,74
319580,ETF,BUY,3024,96
319581,ETF,SELL,3036,96
319582,ETF,BUY,3023,118
319583,ETF,SELL,3037,118
319584,ETF,BUY,3022,140
319585,ETF,SELL,3038,140
319586,ETF,BUY,3021,162
319587,ETF,SELL,3039,162
319588,ETF,BUY,3020,184
319589,ETF,SELL,3040,184
319590,ETF,BUY,3019,206
319591,ETF,SELL,3041,206
319592,ETF,BUY,3018,228
319593,ETF,SELL,3042,228
319594,ETF,BUY,3026,-228
319596,ETF,SELL,3050,-228
319598,ETF,BUY,3024,-52
319601,ETF,BUY,3023,-74
319604,ETF,BUY,3022,-96
319607,ETF,BUY,3021,-118
319609,ETF,SELL,3035,-118
319611,ETF,BUY,3020,-140
319613,ETF,SELL,3036,-140
319615,ETF,BUY,3019,-162
319617,ETF,SELL,3037,-162
319619,ETF,BUY,3018,-184
319621,ETF,SELL,3038,-184
319623,ETF,BUY,3017,-206
319625,ETF,SELL,3039,-206
320048,ETF,BUY,3028,52
320049,ETF,SELL,3036,52
320050,ETF,BUY,3027,74
320051,ETF,SELL,3037,74
320052,ETF,BUY,3026,96
320053,ETF,SELL,3038,96
320054,ETF,BUY,3025,118
320055,ETF,SELL,3039,118
320056,ETF,BUY,3024,140
320057,ETF,SELL,3040,140
320058,ETF,BUY,3023,162
320059,ETF,SELL,3041,162
320060,ETF,BUY,3022,184
320061,ETF,SELL,3042,184
320062,ETF,BUY,3021,206
320063,ETF,SELL,3043,206
320064,ETF,BUY,3020,228
320065,ETF,SELL,3044,228
320066,ETF,BUY,3016,-228
320068,ETF,SELL,3040,-228
320070,ETF,BUY,3026,-52
320072,ETF,SELL,3034,-52
320074,ETF,BUY,3025,-74
320076,ETF,SELL,3035,-74
320078,ETF,BUY,3024,-96
320080,ETF,SELL,3036,-96
320082,ETF,BUY,3023,-118
320084,ETF,SELL,3037,-118
320086,ETF,BUY,3022,-140
320088,ETF,SELL,3038,-140
320090,ETF,BUY,3021,-162
320092,ETF,SELL,3039,-162
320094,ETF,BUY,3020,-184
320096,ETF,SELL,3040,-184
320098,ETF,BUY,3019,-206
320100,ETF,SELL,3041,-206
320531,ETF,BUY,3012,52
320532,ETF,SELL,3020,52
320537,ETF,BUY,3028,-52
320538,ETF,SELL,3020,-52
320539,ETF,BUY,3011,74
320540,ETF,SELL,3021,74
320545,ETF,BUY,3027,-74
320546,ETF,SELL,3021,-74
320547,ETF,BUY,3010,96
320548,ETF,SELL,3022,96
320553,ETF,BUY,3026,-96
320554,ETF,SELL,3022,-96
320555,ETF,BUY,3009,118
320556,ETF,SELL,3023,118
320561,ETF,BUY,3025,-118
320562,ETF,SELL,3023,-118
320563,ETF,BUY,3008,140
320564,ETF,SELL,3024,140
320569,ETF,BUY,3024,-140
320570,ETF,SELL,3024,-140
320571,ETF,BUY,3007,162
320572,ETF,SELL,3025,162
