message_index,tick,tick_ms,kind,symbol,message_type,structured_subtype,earnings_asset,earnings_value,petition_asset,petition_new_signatures,petition_cumulative,cpi_forecast,cpi_actual,raw_content,normalized_content
370240,750,150000,structured,,,cpi_print,,,,,,0.0017052002019720916,0.0025033413647361073,,"{""actual"":0.0025033413647361073,""forecast"":0.0017052002019720916,""structured_subtype"":""cpi_print""}"
370241,750,150000,structured,A,,earnings,A,1.0010201262953866,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0010201262953866}"
407145,825,165000,unstructured,,FedSpeak,,,,,,,,,Fed chair highlights cooling labor market and easing inflation pressures.,"{""content"":""Fed chair highlights cooling labor market and easing inflation pressures."",""type"":""FedSpeak""}"
467058,950,190000,unstructured,,FedSpeak,,,,,,,,,Markets await upcoming data; Fed communication remains cautious.,"{""content"":""Markets await upcoming data; Fed communication remains cautious."",""type"":""FedSpeak""}"
490843,1000,200000,structured,,,cpi_print,,,,,,0.0012416479892248605,0.00099684491971455,,"{""actual"":0.00099684491971455,""forecast"":0.0012416479892248605,""structured_subtype"":""cpi_print""}"
514794,1050,210000,structured,A,,earnings,A,0.9593539475005942,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9593539475005942}"
514795,1050,210000,structured,C,,earnings,C,1.9662881255142857,,,,,,,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":1.9662881255142857}"
526913,1075,215000,unstructured,,FedSpeak,,,,,,,,,Officials emphasize balanced risks amid mixed economic indicators.,"{""content"":""Officials emphasize balanced risks amid mixed economic indicators."",""type"":""FedSpeak""}"
586866,1200,240000,structured,,,cpi_print,,,,,,0.0012910489073537188,0.0028977848835959243,,"{""actual"":0.0028977848835959243,""forecast"":0.0012910489073537188,""structured_subtype"":""cpi_print""}"
586867,1200,240000,structured,A,,earnings,A,0.8700522320347607,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.8700522320347607}"
622636,1275,255000,unstructured,,FedSpeak,,,,,,,,,Markets await upcoming data; Fed communication remains cautious.,"{""content"":""Markets await upcoming data; Fed communication remains cautious."",""type"":""FedSpeak""}"
674664,1385,277000,unstructured,A,News,,,,,,,,,A enters into high-value strategic alliance with industry leaders.,"{""content"":""A enters into high-value strategic alliance with industry leaders."",""type"":""News""}"
681963,1400,280000,unstructured,,FedSpeak,,,,,,,,,Softening data raises expectations of policy easing.,"{""content"":""Softening data raises expectations of policy easing."",""type"":""FedSpeak""}"
706062,1450,290000,structured,,,cpi_print,,,,,,0.0022168973014533434,0.002708799665074364,,"{""actual"":0.002708799665074364,""forecast"":0.0022168973014533434,""structured_subtype"":""cpi_print""}"
730266,1500,300000,structured,A,,earnings,A,1.0020854963127903,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0020854963127903}"
730267,1500,300000,structured,C,,earnings,C,1.943339105119944,,,,,,,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":1.943339105119944}"
742365,1525,305000,unstructured,,FedSpeak,,,,,,,,,Officials emphasize balanced risks amid mixed economic indicators.,"{""content"":""Officials emphasize balanced risks amid mixed economic indicators."",""type"":""FedSpeak""}"
802721,1650,330000,structured,,,cpi_print,,,,,,0.00223047442707111,0.001954799784433256,,"{""actual"":0.001954799784433256,""forecast"":0.00223047442707111,""structured_subtype"":""cpi_print""}"
802722,1650,330000,structured,A,,earnings,A,1.0502085737745046,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0502085737745046}"
838776,1725,345000,unstructured,,FedSpeak,,,,,,,,,Fed chair looks concerned about wage growth and persistent inflation.,"{""content"":""Fed chair looks concerned about wage growth and persistent inflation."",""type"":""FedSpeak""}"
898966,1850,370000,unstructured,,FedSpeak,,,,,,,,,Markets await upcoming data; Fed communication remains cautious.,"{""content"":""Markets await upcoming data; Fed communication remains cautious."",""type"":""FedSpeak""}"
904262,1861,372200,unstructured,A,News,,,,,,,,,"A vital contract slips through A's fingers, won by a rival firm instead.","{""content"":""A vital contract slips through A's fingers, won by a rival firm instead."",""type"":""News""}"
923237,1900,380000,structured,,,cpi_print,,,,,,0.0014929209949193572,0.002370954502289614,,"{""actual"":0.002370954502289614,""forecast"":0.0014929209949193572,""structured_subtype"":""cpi_print""}"
947080,1950,390000,structured,A,,earnings,A,0.9919728260509812,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9919728260509812}"
947081,1950,390000,structured,C,,earnings,C,1.91949903197199,,,,,,,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":1.91949903197199}"
958953,1975,395000,unstructured,,FedSpeak,,,,,,,,,Fed emphasizes inflation risks; markets reassess path of cuts.,"{""content"":""Fed emphasizes inflation risks; markets reassess path of cuts."",""type"":""FedSpeak""}"
1018441,2100,420000,structured,,,cpi_print,,,,,,0.0018226043129956604,0.0007134530695634823,,"{""actual"":0.0007134530695634823,""forecast"":0.0018226043129956604,""structured_subtype"":""cpi_print""}"
1018444,2100,420000,structured,A,,earnings,A,1.067300948228309,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.067300948228309}"
1054896,2175,435000,unstructured,,FedSpeak,,,,,,,,,Officials emphasize balanced risks amid mixed economic indicators.,"{""content"":""Officials emphasize balanced risks amid mixed economic indicators."",""type"":""FedSpeak""}"
1115020,2300,460000,unstructured,,FedSpeak,,,,,,,,,Officials signal policy may stay restrictive for longer than expected.,"{""content"":""Officials signal policy may stay restrictive for longer than expected."",""type"":""FedSpeak""}"
1139084,2350,470000,structured,,,cpi_print,,,,,,0.0017517264425001302,0.001851997385496136,,"{""actual"":0.001851997385496136,""forecast"":0.0017517264425001302,""structured_subtype"":""cpi_print""}"
1163133,2400,480000,structured,A,,earnings,A,1.0771684093145164,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0771684093145164}"
1163134,2400,480000,structured,C,,earnings,C,1.9624231818727136,,,,,,,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":1.9624231818727136}"
1175395,2425,485000,unstructured,,FedSpeak,,,,,,,,,Officials emphasize balanced risks amid mixed economic indicators.,"{""content"":""Officials emphasize balanced risks amid mixed economic indicators."",""type"":""FedSpeak""}"
1234637,2550,510000,structured,,,cpi_print,,,,,,0.0017748584663537085,0.0013041342643434067,,"{""actual"":0.0013041342643434067,""forecast"":0.0017748584663537085,""structured_subtype"":""cpi_print""}"
1234638,2550,510000,structured,A,,earnings,A,0.918365244741331,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.918365244741331}"
1270661,2625,525000,unstructured,,FedSpeak,,,,,,,,,Officials note downside growth risks; markets lean toward cuts.,"{""content"":""Officials note downside growth risks; markets lean toward cuts."",""type"":""FedSpeak""}"
1330745,2750,550000,unstructured,,FedSpeak,,,,,,,,,Strong demand and sticky prices keep pressure on the Fed.,"{""content"":""Strong demand and sticky prices keep pressure on the Fed."",""type"":""FedSpeak""}"
1354724,2800,560000,structured,,,cpi_print,,,,,,0.0023112311367723807,0.0027203416402213423,,"{""actual"":0.0027203416402213423,""forecast"":0.0023112311367723807,""structured_subtype"":""cpi_print""}"
1378477,2850,570000,structured,A,,earnings,A,0.9205711057737148,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9205711057737148}"
1378478,2850,570000,structured,C,,earnings,C,1.9844590705450345,,,,,,,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":1.9844590705450345}"
1390291,2875,575000,unstructured,,FedSpeak,,,,,,,,,Fed chair highlights cooling labor market and easing inflation pressures.,"{""content"":""Fed chair highlights cooling labor market and easing inflation pressures."",""type"":""FedSpeak""}"
1449587,3000,600000,structured,,,cpi_print,,,,,,0.002367738025584264,0.001841751237015556,,"{""actual"":0.001841751237015556,""forecast"":0.002367738025584264,""structured_subtype"":""cpi_print""}"
1449588,3000,600000,structured,A,,earnings,A,1.0189862806095946,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0189862806095946}"
1485306,3075,615000,unstructured,,FedSpeak,,,,,,,,,Fed chair reiterates data dependence; no clear signal on next move.,"{""content"":""Fed chair reiterates data dependence; no clear signal on next move."",""type"":""FedSpeak""}"
1545073,3200,640000,unstructured,,FedSpeak,,,,,,,,,Fed emphasizes inflation risks; markets reassess path of cuts.,"{""content"":""Fed emphasizes inflation risks; markets reassess path of cuts."",""type"":""FedSpeak""}"
1568906,3250,650000,structured,,,cpi_print,,,,,,0.002238618837822211,0.0029090242957678447,,"{""actual"":0.0029090242957678447,""forecast"":0.002238618837822211,""structured_subtype"":""cpi_print""}"
1592536,3300,660000,structured,A,,earnings,A,0.9429308506791584,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9429308506791584}"
1592537,3300,660000,structured,C,,earnings,C,2.036457833176181,,,,,,,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.036457833176181}"
1604892,3325,665000,unstructured,,FedSpeak,,,,,,,,,Officials signal policy may stay restrictive for longer than expected.,"{""content"":""Officials signal policy may stay restrictive for longer than expected."",""type"":""FedSpeak""}"
1663900,3450,690000,structured,,,cpi_print,,,,,,0.003400401963321341,0.0037620022722523816,,"{""actual"":0.0037620022722523816,""forecast"":0.003400401963321341,""structured_subtype"":""cpi_print""}"
1663901,3450,690000,structured,A,,earnings,A,0.9191959495178588,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9191959495178588}"
1699006,3525,705000,unstructured,,FedSpeak,,,,,,,,,Fed chair highlights cooling labor market and easing inflation pressures.,"{""content"":""Fed chair highlights cooling labor market and easing inflation pressures."",""type"":""FedSpeak""}"
1758408,3650,730000,unstructured,,FedSpeak,,,,,,,,,Officials emphasize balanced risks amid mixed economic indicators.,"{""content"":""Officials emphasize balanced risks amid mixed economic indicators."",""type"":""FedSpeak""}"
1782123,3700,740000,structured,,,cpi_print,,,,,,0.0019514747300909136,0.0012185412290540824,,"{""actual"":0.0012185412290540824,""forecast"":0.0019514747300909136,""structured_subtype"":""cpi_print""}"
1806036,3750,750000,structured,A,,earnings,A,1.0036874122540247,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0036874122540247}"
1806037,3750,750000,structured,C,,earnings,C,2.0210052372896334,,,,,,,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.0210052372896334}"
1817906,3775,755000,unstructured,,FedSpeak,,,,,,,,,Fed chair highlights cooling labor market and easing inflation pressures.,"{""content"":""Fed chair highlights cooling labor market and easing inflation pressures."",""type"":""FedSpeak""}"
1877892,3900,780000,structured,,,cpi_print,,,,,,0.0016030566249420942,0.0018926037202611483,,"{""actual"":0.0018926037202611483,""forecast"":0.0016030566249420942,""structured_subtype"":""cpi_print""}"
1877893,3900,780000,structured,A,,earnings,A,0.826216334890891,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.826216334890891}"
1913583,3975,795000,unstructured,,FedSpeak,,,,,,,,,Softening data raises expectations of policy easing.,"{""content"":""Softening data raises expectations of policy easing."",""type"":""FedSpeak""}"
2193699,4200,840000,structured,A,,earnings,A,0.992761347164262,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.992761347164262}"
2193700,4200,840000,structured,C,,earnings,C,2.005711489861767,,,,,,,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.005711489861767}"
2259490,4350,870000,structured,A,,earnings,A,0.999137978188298,,,,,,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.999137978188298}"
2308919,4466,893200,unstructured,A,News,,,,,,,,,Investors are warned by A about growing insolvency risks.,"{""content"":""Investors are warned by A about growing insolvency risks."",""type"":""News""}"
