message_index,symbol,price,qty
320203,A,1187,52
321185,A,1183,52
321189,A,1184,74
321193,A,1185,96
321197,A,1186,118
321201,A,1188,162
321205,A,1187,1
332262,A,1180,52
332266,A,1179,74
332270,A,1178,96
332274,A,1177,118
332278,A,1176,140
332282,A,1175,23
350537,A,1178,52
350541,A,1177,74
359210,A,1181,52
359214,A,1180,74
373125,A,1170,52
373129,A,1171,74
373133,A,1172,96
373137,A,1173,118
373141,A,1174,140
373145,A,1175,23
376060,A,1186,52
376070,A,1187,74
376083,A,1187,96
376104,A,1187,58
376108,A,1187,60
376124,A,1187,14
376128,A,1188,96
376132,A,1189,30
376162,A,1189,88
376626,A,1194,52
376642,A,1194,74
376670,A,1194,96
376682,A,1194,6
376686,A,1202,52
376690,A,1203,60
376716,A,1203,14
376720,A,1204,96
376724,A,1205,30
376738,A,1205,88
376742,A,1206,74
376751,A,1206,66
376755,A,1207,118
376764,A,1207,44
377252,A,1210,52
377261,A,1210,74
377273,A,1210,96
377286,A,1210,6
377759,A,1211,52
378767,A,1212,52
378794,A,1213,74
378812,A,1214,96
378844,A,1215,118
378852,A,1216,140
378860,A,1217,162
378868,A,1218,184
379368,A,1220,52
379384,A,1220,74
379406,A,1220,96
379416,A,1220,6
379420,A,1233,52
379424,A,1234,60
379452,A,1234,14
379456,A,1235,96
379460,A,1236,30
379470,A,1236,88
379474,A,1237,74
379483,A,1237,66
379487,A,1238,118
379496,A,1238,44
379500,A,1239,162
379509,A,1239,22
379513,A,1240,206
379990,A,1241,52
380004,A,1241,74
380021,A,1241,96
380041,A,1241,6
380045,A,1265,52
382017,A,1278,52
382027,A,1279,74
382041,A,1280,96
382056,A,1281,118
382069,A,1282,140
382515,A,1286,52
382529,A,1286,74
382549,A,1286,96
382573,A,1286,6
384916,A,1276,52
384937,A,1275,74
384973,A,1275,96
384989,A,1275,118
385001,A,1275,14
385005,A,1274,96
396062,A,1267,52
396066,A,1268,74
396070,A,1269,96
396074,A,1270,118
396078,A,1271,140
396082,A,1272,23
423879,A,1263,52
423883,A,1262,74
423887,A,1261,96
423891,A,1260,118
423895,A,1259,140
430163,A,1261,52
430167,A,1260,74
430171,A,1259,96
433049,A,1262,52
433053,A,1261,74
433057,A,1260,96
433061,A,1259,118
433065,A,1258,140
433069,A,1257,23
446962,A,1268,52
446966,A,1267,74
446970,A,1266,96
446974,A,1265,118
446978,A,1264,140
446982,A,1263,23
452753,A,1257,52
452757,A,1256,74
452761,A,1255,96
452765,A,1254,118
452769,A,1253,140
470828,A,1262,52
470832,A,1261,74
470836,A,1260,96
504221,A,1275,52
504225,A,1276,74
504229,A,1277,96
511399,A,1268,52
511403,A,1269,74
511407,A,1270,96
515817,A,1254,52
515821,A,1253,74
515825,A,1252,96
532647,A,1232,52
532651,A,1231,74
532655,A,1230,96
532659,A,1229,118
532663,A,1228,140
532667,A,1227,23
559926,A,1236,52
559930,A,1237,74
605950,A,1141,52
605954,A,1142,74
605958,A,1143,96
605962,A,1144,118
615016,A,1135,52
615020,A,1134,74
615024,A,1133,96
615028,A,1132,118
615032,A,1131,140
651554,A,1140,52
651558,A,1141,74
651562,A,1142,96
651566,A,1143,118
657212,A,1143,52
657216,A,1144,74
657220,A,1145,96
657224,A,1146,118
657228,A,1147,140
659101,A,1140,52
659105,A,1141,74
659109,A,1142,96
659113,A,1143,118
661929,A,1147,52
661933,A,1148,74
661937,A,1149,96
661941,A,1150,118
661945,A,1151,140
675606,A,1142,52
675610,A,1143,74
675614,A,1144,96
675618,A,1145,118
675622,A,1146,163
678539,A,1173,52
680459,A,1196,52
682461,A,1218,52
683410,A,1229,52
683892,A,1237,52
684396,A,1245,52
686327,A,1271,52
687794,A,1288,52
688295,A,1296,52
688752,A,1304,52
703629,A,1309,52
703633,A,1308,74
703637,A,1307,96
703641,A,1306,118
703645,A,1305,140
712329,A,1308,52
712333,A,1307,74
712337,A,1306,96
712341,A,1305,118
712345,A,1304,140
714346,A,1312,52
714350,A,1311,74
714354,A,1310,96
714358,A,1309,118
738010,A,1284,52
738014,A,1285,74
738018,A,1286,96
738022,A,1287,118
753921,A,1272,52
753925,A,1273,74
793605,A,1271,52
793609,A,1272,74
793613,A,1273,96
793617,A,1274,118
793621,A,1275,140
793625,A,1276,23
814725,A,1303,52
814729,A,1302,74
814733,A,1301,96
814737,A,1300,118
838778,A,1308,52
838782,A,1307,74
838786,A,1306,96
838790,A,1305,118
847949,A,1311,52
847953,A,1310,74
847957,A,1309,96
848917,A,1315,52
848921,A,1314,74
848925,A,1313,96
881633,A,1313,52
881637,A,1314,74
881641,A,1315,96
896557,A,1325,52
896561,A,1324,74
896565,A,1323,96
896569,A,1322,118
896573,A,1321,140
904760,A,1308,52
904764,A,1307,74
910536,A,1304,52
910544,A,1303,74
911565,A,1294,52
911569,A,1293,74
912553,A,1291,52
913044,A,1283,52
913055,A,1283,74
913063,A,1283,96
913071,A,1283,58
913075,A,1282,60
913085,A,1282,14
913089,A,1281,96
913551,A,1275,52
913560,A,1275,74
916451,A,1262,52
916455,A,1261,74
916459,A,1260,96
916463,A,1259,118
916467,A,1259,163
938528,A,1267,52
938532,A,1266,74
938536,A,1265,96
944721,A,1270,52
944725,A,1269,74
944729,A,1268,96
944733,A,1267,118
964622,A,1261,52
964626,A,1262,74
964630,A,1263,96
964634,A,1264,118
964638,A,1265,140
974156,A,1256,52
974160,A,1257,74
974164,A,1258,96
974168,A,1259,118
974172,A,1260,140
974176,A,1261,23
975154,A,1259,52
975158,A,1260,74
975162,A,1261,96
975166,A,1262,118
975170,A,1263,140
975174,A,1264,23
994254,A,1261,52
994258,A,1260,74
994262,A,1259,96
994266,A,1258,118
1030978,A,1279,52
1031467,A,1287,52
1031484,A,1287,74
1031527,A,1287,96
1031537,A,1287,6
1031541,A,1287,52
1031545,A,1288,60
1031560,A,1288,14
1032018,A,1295,52
1032053,A,1295,74
1032063,A,1295,96
1032090,A,1295,6
1032094,A,1300,52
1032098,A,1301,60
1032128,A,1301,14
1032132,A,1302,96
1032570,A,1308,52
1032604,A,1308,74
1032617,A,1308,96
1032649,A,1308,6
1032653,A,1314,52
1032657,A,1315,60
1032681,A,1315,14
1032685,A,1316,96
1032689,A,1317,30
1032699,A,1317,88
1032703,A,1318,74
1032712,A,1318,66
1032716,A,1319,118
1032725,A,1319,44
1032729,A,1320,162
1032738,A,1320,22
1032742,A,1321,206
1033215,A,1322,52
1033235,A,1322,74
1033248,A,1322,96
1033267,A,1322,6
1038509,A,1341,52
1038513,A,1342,74
1060244,A,1343,52
1060248,A,1344,74
1060252,A,1345,96
1060256,A,1346,118
1083838,A,1346,52
1083842,A,1347,74
1083846,A,1348,96
1083850,A,1349,118
1086259,A,1345,52
1086263,A,1346,74
1086267,A,1347,96
1102060,A,1346,52
1102064,A,1347,74
1102068,A,1348,96
1102072,A,1349,118
1115494,A,1340,52
1115498,A,1341,74
1115502,A,1342,96
1116462,A,1339,52
1116466,A,1340,74
1119839,A,1339,52
1119843,A,1340,74
1119847,A,1341,96
1185441,A,1348,52
1185445,A,1347,74
1185449,A,1346,96
1185453,A,1345,118
1185457,A,1344,140
1237991,A,1308,52
1241316,A,1275,52
1242826,A,1259,52
1244282,A,1242,52
1244309,A,1241,74
1244796,A,1234,52
1244816,A,1234,74
1244843,A,1234,96
1265393,A,1175,52
1265397,A,1174,74
1277804,A,1186,52
1277808,A,1185,74
1277812,A,1184,96
1277816,A,1183,118
1277820,A,1182,140
1280189,A,1191,52
1280193,A,1192,74
1280197,A,1193,96
1312908,A,1182,52
1312912,A,1183,74
1312916,A,1184,96
1312920,A,1185,118
1312924,A,1186,140
1312928,A,1187,23
1323471,A,1190,52
1323475,A,1191,74
1323479,A,1192,96
1323483,A,1193,118
1325886,A,1194,52
1355212,A,1176,52
1355216,A,1175,74
1417927,A,1182,52
1417931,A,1181,74
1417935,A,1180,96
1417939,A,1179,118
1428285,A,1198,52
1428289,A,1199,74
1428293,A,1200,96
1464354,A,1291,52
1464358,A,1290,74
1464362,A,1289,96
1490009,A,1283,52
1490013,A,1282,74
1490017,A,1281,96
1490021,A,1280,118
1490025,A,1279,140
1490029,A,1278,23
1493321,A,1281,52
1493794,A,1292,52
1493798,A,1293,74
1493802,A,1294,96
1493806,A,1295,118
1493810,A,1296,140
1493814,A,1297,23
1533567,A,1279,52
1533571,A,1278,74
1533575,A,1277,96
1533579,A,1276,118
1533583,A,1275,140
1533587,A,1274,23
1578918,A,1280,52
1578922,A,1279,74
1578926,A,1278,96
1585040,A,1282,52
1585044,A,1281,74
1585048,A,1280,96
1598831,A,1274,52
1598858,A,1273,74
1599393,A,1266,52
1599412,A,1266,74
1599424,A,1266,96
1599436,A,1266,6
1600376,A,1249,52
1600892,A,1241,52
1600923,A,1241,74
1600969,A,1241,96
1600977,A,1241,6
1601440,A,1232,52
1601480,A,1232,74
1601500,A,1232,96
1601528,A,1232,6
1601532,A,1230,52
1601536,A,1229,60
1601546,A,1229,14
1601993,A,1222,52
1602005,A,1222,74
1602038,A,1222,96
1602066,A,1222,6
1602070,A,1217,52
1602504,A,1209,52
1602522,A,1209,74
1602532,A,1209,96
1602557,A,1209,6
1602986,A,1198,52
1603003,A,1198,74
1603028,A,1198,96
1603068,A,1198,6
1606292,A,1201,52
1606314,A,1202,74
1606788,A,1209,52
1606808,A,1209,74
1606817,A,1209,96
1606843,A,1209,6
1606847,A,1211,52
1606851,A,1212,60
1606867,A,1212,14
1614849,A,1213,52
1614853,A,1212,74
1614857,A,1211,96
1614861,A,1210,118
1622343,A,1202,52
1622347,A,1201,74
1622351,A,1200,96
1622355,A,1199,118
1622359,A,1198,140
1624759,A,1206,52
1624763,A,1205,74
1624767,A,1204,96
1624771,A,1203,118
1624775,A,1202,140
1624779,A,1201,23
1630859,A,1201,52
1630863,A,1202,74
1630867,A,1203,96
1630871,A,1204,118
1695711,A,1185,52
1720351,A,1183,52
1720355,A,1184,74
1720359,A,1185,96
1720363,A,1186,118
1722780,A,1178,52
1722784,A,1177,74
1722788,A,1176,96
1800283,A,1196,52
1800287,A,1197,74
1800291,A,1198,96
1800295,A,1199,118
1800299,A,1200,140
1800303,A,1201,23
1829266,A,1256,52
1829270,A,1255,74
1829274,A,1254,96
1829278,A,1253,118
1829282,A,1252,140
1829286,A,1251,23
1845541,A,1273,52
1849845,A,1283,52
1849849,A,1284,74
1849853,A,1285,96
1849857,A,1286,118
1869810,A,1271,52
1869814,A,1270,74
1869818,A,1269,96
1872661,A,1264,52
1872665,A,1263,74
1872669,A,1262,96
1880803,A,1240,52
1882269,A,1220,52
1883745,A,1199,52
1887049,A,1162,52
1888971,A,1138,52
1890908,A,1115,52
1898445,A,1111,52
1918863,A,1102,52
1918867,A,1103,74
1918871,A,1104,96
1918875,A,1105,118
1918879,A,1106,140
1918883,A,1107,23
1937245,A,1092,52
1937249,A,1093,74
1937253,A,1094,96
1937257,A,1095,118
1937261,A,1096,140
2129184,A,1079,52
2132619,A,1089,52
2132623,A,1090,74
2132627,A,1091,96
2176999,A,1086,52
2177003,A,1085,74
2177007,A,1084,96
2177011,A,1083,118
2197627,A,1096,52
2197631,A,1097,74
2197635,A,1098,96
2197639,A,1099,228
2197643,A,1099,53
2197654,A,1099,52
2198077,A,1104,52
2198085,A,1104,74
2198093,A,1104,96
2198101,A,1104,6
2198105,A,1107,52
2198109,A,1108,60
2198119,A,1108,14
2198568,A,1115,52
2198576,A,1115,74
2198584,A,1115,96
2198592,A,1115,6
2198596,A,1120,52
2198600,A,1121,60
2198610,A,1121,14
2198614,A,1122,96
2199050,A,1128,52
2199058,A,1128,74
2199066,A,1128,96
2199074,A,1128,6
2199078,A,1134,52
2199082,A,1135,60
2199504,A,1142,52
2199512,A,1142,74
2199520,A,1142,96
2199528,A,1142,6
2199532,A,1146,52
2199536,A,1147,60
2199546,A,1147,14
2199550,A,1148,96
2200033,A,1154,52
2200041,A,1154,74
2200049,A,1154,96
2200057,A,1154,6
2200061,A,1160,52
2200065,A,1161,60
2200075,A,1161,14
2200079,A,1162,96
2200083,A,1163,30
2200093,A,1163,88
2200097,A,1164,74
2200576,A,1168,52
2200584,A,1168,74
2200592,A,1168,96
2200600,A,1168,6
2200604,A,1177,52
2200608,A,1178,60
2200618,A,1178,14
2200622,A,1179,96
2200626,A,1180,30
2200636,A,1180,88
2201086,A,1185,52
2201094,A,1185,74
2201102,A,1185,96
2201110,A,1185,6
2201114,A,1193,52
2201118,A,1194,60
2201128,A,1194,14
2201132,A,1195,96
2201136,A,1196,30
2201146,A,1196,88
2201626,A,1201,52
2201634,A,1201,74
2201642,A,1201,96
2201650,A,1201,6
2201654,A,1209,52
2201658,A,1210,60
2201668,A,1210,14
2201672,A,1211,96
2201676,A,1212,30
2201686,A,1212,88
2201690,A,1213,74
2202133,A,1217,52
2202141,A,1217,74
2202149,A,1217,96
2202157,A,1217,6
2202161,A,1226,52
2202165,A,1227,60
2202175,A,1227,14
2202179,A,1228,96
2202183,A,1229,30
2202193,A,1229,88
2202197,A,1230,74
2202668,A,1234,52
2202676,A,1234,74
2202684,A,1234,96
2202692,A,1234,6
2202696,A,1243,52
2202700,A,1244,60
2202710,A,1244,14
2202714,A,1245,96
2202718,A,1246,30
2202728,A,1246,88
2202732,A,1247,74
2202741,A,1247,66
2203195,A,1251,52
2203203,A,1251,74
2203211,A,1251,96
2203219,A,1251,6
2203223,A,1261,52
2203227,A,1262,60
2203237,A,1262,14
2203241,A,1263,96
2203245,A,1264,30
2203255,A,1264,88
2203259,A,1265,74
2203268,A,1265,66
2203272,A,1266,118
2203733,A,1269,52
2203741,A,1269,74
2203749,A,1269,96
2203757,A,1269,6
2203761,A,1280,52
2203765,A,1281,60
2203775,A,1281,14
2203779,A,1282,96
2203783,A,1283,30
2203793,A,1283,88
2203797,A,1284,74
2204222,A,1288,52
2204230,A,1288,74
2204238,A,1288,96
2204246,A,1288,6
2204675,A,1305,52
2204683,A,1305,74
2204691,A,1305,96
2204699,A,1305,6
2206398,A,1316,52
2206406,A,1315,74
2206414,A,1314,96
2206422,A,1313,118
2206848,A,1308,52
2206856,A,1308,74
2206864,A,1308,96
2206872,A,1308,6
2206876,A,1302,52
2206880,A,1301,60
2206890,A,1301,14
2206894,A,1300,96
2206898,A,1299,30
2206908,A,1299,88
2206912,A,1298,74
2207400,A,1294,52
2207408,A,1294,74
2207416,A,1294,96
2207424,A,1294,6
2207428,A,1285,52
2207432,A,1284,60
2207442,A,1284,14
2207446,A,1283,96
2207450,A,1282,30
2207460,A,1282,88
2207464,A,1281,74
2207473,A,1281,66
2207477,A,1280,118
2207486,A,1280,44
2207490,A,1279,162
2207499,A,1279,22
2207503,A,1278,206
2207964,A,1277,52
2207972,A,1277,74
2207980,A,1277,96
2207988,A,1277,6
2209684,A,1261,52
2209688,A,1262,74
2209692,A,1263,96
2209696,A,1264,118
2209700,A,1265,140
2209704,A,1266,23
2212720,A,1262,52
2212724,A,1263,74
2212728,A,1264,96
2212732,A,1265,118
2233779,A,1256,52
2233783,A,1257,74
2234644,A,1256,52
2234648,A,1257,74
2234652,A,1258,96
2243621,A,1265,52
2243625,A,1264,74
2243629,A,1263,96
2243633,A,1262,118
2243637,A,1261,140
2271854,A,1262,52
2271858,A,1263,74
2271862,A,1264,96
2271866,A,1265,118
2271870,A,1266,140
2271874,A,1267,23
2286799,A,1258,52
2286803,A,1257,74
2286807,A,1256,96
2313625,A,1271,52
2313633,A,1270,74
2314098,A,1263,52
2314106,A,1263,74
2314114,A,1263,96
2314122,A,1263,6
2314126,A,1261,52
2314130,A,1260,60
2314140,A,1260,14
2314144,A,1259,96
2314148,A,1258,30
2314158,A,1258,88
2314162,A,1257,74
2314171,A,1257,66
2314175,A,1256,118
2314184,A,1256,44
2314663,A,1253,52
2314671,A,1253,74
2314679,A,1253,96
2314687,A,1253,6
2314691,A,1241,52
2314695,A,1240,60
2314705,A,1240,14
2314709,A,1239,96
2314713,A,1238,30
2314723,A,1238,88
2315149,A,1233,52
2315157,A,1233,74
2315165,A,1233,96
2316429,A,1228,52
2316437,A,1227,74
2316445,A,1226,96
2316453,A,1225,118
2316882,A,1220,52
2316890,A,1220,74
2316898,A,1220,96
2316906,A,1220,6
2316910,A,1214,52
2316914,A,1213,60
2316924,A,1213,14
2316928,A,1212,96
2316932,A,1211,30
2316942,A,1211,88
2316946,A,1210,74
2316955,A,1210,66
2316959,A,1209,118
2316968,A,1209,44
2316972,A,1208,162
2317436,A,1206,52
2317444,A,1206,74
2317452,A,1206,96
2317460,A,1206,6
2318744,A,1188,52
2319172,A,1180,52
2319180,A,1180,74
2319188,A,1180,96
2319196,A,1180,58
2321744,A,1183,52
2321752,A,1184,74
2321760,A,1185,96
2321768,A,1186,118
