message_index,symbol,price,qty
343300,C,884,52
343304,C,885,74
343308,C,886,96
343312,C,887,118
343316,C,888,140
343320,C,889,23
353431,C,890,52
353435,C,891,74
353439,C,892,96
353443,C,893,118
353447,C,894,140
354405,C,889,52
354409,C,890,74
354413,C,891,96
354417,C,892,118
354421,C,893,140
354425,C,894,23
385477,C,884,52
385481,C,885,74
385485,C,886,96
385489,C,887,118
385493,C,888,140
394612,C,885,52
394616,C,886,74
394620,C,887,96
396568,C,884,52
396572,C,885,74
396576,C,886,96
396580,C,887,118
396584,C,888,140
424861,C,879,52
424865,C,880,74
424869,C,881,96
424873,C,882,118
424877,C,883,140
424881,C,884,23
433551,C,881,52
433555,C,882,74
433559,C,883,96
433563,C,884,118
433567,C,885,140
435487,C,886,52
435491,C,887,74
435495,C,888,96
435499,C,889,118
484649,C,884,52
484653,C,885,74
484657,C,886,96
484661,C,887,118
484665,C,888,140
484669,C,889,23
492269,C,880,52
492273,C,881,74
492277,C,882,96
492281,C,883,118
492285,C,884,140
492289,C,885,23
504710,C,890,52
504714,C,891,74
504718,C,892,96
504722,C,893,118
504726,C,894,140
504730,C,895,23
515118,C,889,52
515133,C,890,74
515141,C,891,96
537454,C,890,52
537458,C,889,74
537462,C,888,96
537466,C,887,118
540340,C,885,52
540344,C,884,74
540348,C,883,96
540352,C,882,118
540356,C,881,140
612144,C,882,52
612148,C,881,74
612152,C,880,96
612156,C,879,118
612160,C,878,140
612164,C,877,23
624539,C,881,52
624543,C,880,74
624547,C,879,96
624551,C,878,118
624555,C,877,140
650583,C,877,52
650587,C,876,74
650591,C,875,96
650595,C,874,118
650599,C,873,140
650603,C,872,23
665718,C,877,52
665722,C,876,74
680950,C,877,52
680954,C,876,74
680958,C,875,96
680962,C,874,118
695000,C,887,52
695004,C,888,74
695008,C,889,96
695012,C,890,118
709423,C,879,52
709427,C,878,74
709431,C,877,96
709435,C,876,118
730589,C,882,52
730597,C,881,74
734124,C,883,52
734128,C,884,74
734132,C,885,96
738032,C,874,52
738036,C,873,74
740892,C,877,52
740896,C,876,74
740900,C,875,96
740904,C,874,118
740908,C,873,140
740912,C,872,23
762641,C,879,52
762645,C,880,74
762649,C,881,96
762653,C,882,118
762657,C,883,140
762661,C,884,23
767024,C,881,52
767028,C,882,74
767032,C,883,96
767036,C,884,118
768012,C,873,52
768016,C,872,74
768020,C,871,96
780502,C,882,52
780506,C,883,74
780510,C,884,96
780514,C,885,118
783874,C,877,52
783878,C,876,74
783882,C,875,96
783886,C,874,118
783890,C,873,140
783894,C,872,23
786277,C,873,52
786281,C,872,74
786285,C,871,96
786289,C,870,118
786293,C,869,140
786297,C,868,23
821960,C,870,52
821964,C,869,74
821968,C,868,96
821972,C,867,118
833444,C,869,52
833448,C,868,74
833452,C,867,96
833456,C,866,118
833460,C,865,140
843625,C,867,52
843629,C,866,74
843633,C,865,96
843637,C,864,118
843641,C,863,140
843645,C,862,23
854690,C,871,52
854694,C,870,74
854698,C,869,96
854702,C,868,118
854706,C,867,140
860540,C,871,52
860544,C,870,74
860548,C,869,96
860552,C,868,118
860556,C,867,140
902336,C,888,52
902340,C,889,74
902344,C,890,96
929490,C,873,52
929494,C,872,74
929498,C,871,96
947399,C,872,52
947407,C,871,74
985657,C,863,52
985661,C,862,74
985665,C,861,96
985669,C,860,118
985673,C,859,140
1018430,C,864,52
1018434,C,865,74
1048621,C,872,52
1048625,C,873,74
1048629,C,874,96
1048633,C,875,118
1048637,C,876,140
1050077,C,875,52
1050081,C,876,74
1050085,C,877,96
1050089,C,878,118
1050093,C,879,140
1103509,C,873,52
1103513,C,874,74
1103517,C,875,96
1103521,C,876,118
1127522,C,865,52
1127526,C,866,74
1127530,C,867,96
1134240,C,864,52
1134244,C,865,74
1134248,C,866,96
1134252,C,867,118
1134256,C,868,140
1134260,C,869,23
1146783,C,871,52
1146787,C,872,74
1146791,C,873,96
1146795,C,874,118
1149195,C,872,52
1149199,C,873,74
1149203,C,874,96
1149207,C,875,118
1149211,C,876,140
1149215,C,877,23
1155905,C,865,52
1155909,C,864,74
1163556,C,873,52
1163564,C,874,74
1163572,C,875,96
1163580,C,876,118
1163588,C,877,140
1163596,C,878,162
1163604,C,879,184
1163612,C,880,206
1164066,C,881,52
1164074,C,881,74
1164082,C,881,96
1164090,C,881,6
1171548,C,890,52
1171552,C,891,74
1171556,C,892,96
1171560,C,893,118
1171564,C,894,140
1184450,C,881,52
1184454,C,880,74
1184458,C,879,96
1184462,C,878,118
1184466,C,877,140
1184470,C,876,23
1194451,C,872,52
1194455,C,871,74
1206247,C,885,52
1206251,C,884,74
1206255,C,883,96
1206259,C,882,118
1265407,C,894,52
1265411,C,895,74
1265415,C,896,96
1265419,C,897,118
1265423,C,898,140
1285485,C,888,52
1285489,C,889,74
1285493,C,890,96
1285497,C,891,118
1285501,C,892,140
1285505,C,893,23
1289370,C,884,52
1289374,C,885,74
1289378,C,886,96
1289382,C,887,118
1296506,C,885,52
1296510,C,886,74
1296514,C,887,96
1296518,C,888,118
1296522,C,889,140
1296526,C,890,23
1297022,C,889,52
1308529,C,881,52
1308533,C,880,74
1308537,C,879,96
1308541,C,878,118
1308545,C,877,140
1308549,C,876,23
1327826,C,886,52
1327830,C,887,74
1327834,C,888,96
1327838,C,889,118
1339932,C,885,52
1339936,C,886,74
1339940,C,887,96
1339944,C,888,118
1368020,C,892,52
1368024,C,893,74
1368028,C,894,96
1368032,C,895,118
1378800,C,891,52
1408006,C,899,52
1408010,C,900,74
1408014,C,901,96
1432601,C,903,52
1432605,C,904,74
1432609,C,905,96
1432613,C,906,118
1458674,C,900,52
1458678,C,901,74
1458682,C,902,96
1458686,C,903,118
1458690,C,904,140
1458694,C,905,23
1467671,C,903,52
1467675,C,904,74
1467679,C,905,96
1474778,C,901,52
1474782,C,902,74
1474786,C,903,96
1474790,C,904,118
1481924,C,888,52
1481928,C,887,74
1481932,C,886,96
1484787,C,889,52
1484791,C,888,74
1484795,C,887,96
1484799,C,886,118
1484803,C,885,140
1484807,C,884,23
1485280,C,894,52
1485284,C,895,74
1485288,C,896,96
1485292,C,897,118
1485296,C,898,140
1536961,C,891,52
1536965,C,890,74
1581282,C,902,52
1581286,C,903,74
1581290,C,904,96
1581294,C,905,118
1592852,C,901,52
1592860,C,902,74
1592868,C,903,96
1592876,C,904,118
1592884,C,905,140
1592892,C,906,162
1592900,C,907,184
1592908,C,908,206
1592916,C,909,228
1613420,C,913,52
1613424,C,912,74
1613428,C,911,96
1639341,C,911,52
1639345,C,910,74
1650201,C,914,52
1650205,C,913,74
1650209,C,912,96
1650213,C,911,118
1660137,C,912,52
1660141,C,911,74
1669504,C,910,52
1669508,C,909,74
1669512,C,908,96
1669516,C,907,118
1669520,C,906,140
1694746,C,919,52
1694750,C,918,74
1694754,C,917,96
1694758,C,916,118
1694762,C,915,140
1694766,C,914,23
1737621,C,913,52
1737625,C,912,74
1737629,C,911,96
1737633,C,910,118
1771254,C,912,52
1771258,C,911,74
1771262,C,910,96
1806368,C,916,52
1806376,C,915,74
1893265,C,907,52
1893269,C,906,74
1893273,C,905,96
1893277,C,904,118
1893281,C,903,140
1897020,C,907,52
1897024,C,906,74
1897028,C,905,96
1897032,C,904,118
1897036,C,903,140
1897040,C,902,23
2150278,C,900,52
2150282,C,899,74
2150286,C,898,96
2150290,C,897,118
2155025,C,902,52
2155029,C,901,74
2155033,C,900,96
2155037,C,899,118
2165376,C,902,52
2165380,C,901,74
2165384,C,900,96
2165388,C,899,118
2165392,C,898,140
2172700,C,900,52
2172704,C,899,74
2172708,C,898,96
2172712,C,897,118
2193250,C,906,52
2193254,C,907,74
2193258,C,908,96
2193262,C,909,118
2213595,C,902,52
2213599,C,903,74
2213603,C,904,96
2220501,C,903,52
2220505,C,904,74
2220509,C,905,96
2220513,C,906,118
2225199,C,900,52
2225203,C,901,74
2225207,C,902,96
2226936,C,895,52
2226940,C,896,74
2226944,C,897,96
2226948,C,898,118
2310190,C,905,52
2313181,C,907,52
2313185,C,906,74
2313189,C,905,96
2313193,C,904,118
