message_index,symbol,price,qty
318263,ETF,3042,52
318267,ETF,3041,74
318271,ETF,3040,96
318275,ETF,3039,118
318279,ETF,3038,140
318283,ETF,3037,23
319087,ETF,3034,52
319095,ETF,3034,74
319103,ETF,3034,96
320533,ETF,3028,52
320541,ETF,3027,74
320549,ETF,3026,96
320557,ETF,3025,118
320565,ETF,3024,140
322968,ETF,3031,52
322976,ETF,3032,74
322984,ETF,3033,96
322992,ETF,3034,118
325530,ETF,3043,52
325534,ETF,3044,74
326814,ETF,3040,52
328243,ETF,3051,52
328251,ETF,3052,74
328259,ETF,3053,96
328267,ETF,3053,118
328275,ETF,3053,14
328279,ETF,3053,96
330178,ETF,3044,52
330186,ETF,3043,74
332243,ETF,3041,52
332247,ETF,3042,74
332251,ETF,3043,96
334517,ETF,3019,52
334525,ETF,3018,74
335948,ETF,3015,52
335956,ETF,3016,74
337376,ETF,3017,52
338328,ETF,3028,52
340244,ETF,3037,52
340252,ETF,3038,74
340734,ETF,3037,52
340742,ETF,3037,44
342179,ETF,3025,52
342187,ETF,3024,74
343654,ETF,3019,52
344132,ETF,3019,52
344140,ETF,3019,22
345096,ETF,3018,52
345104,ETF,3019,74
345112,ETF,3020,96
347500,ETF,3015,52
347508,ETF,3014,74
351831,ETF,3006,52
351839,ETF,3005,74
352796,ETF,3006,52
354760,ETF,3005,52
357138,ETF,3008,52
358575,ETF,3009,52
360019,ETF,3018,52
360027,ETF,3019,74
360035,ETF,3020,96
360043,ETF,3021,118
360515,ETF,3026,52
362577,ETF,3034,52
362581,ETF,3033,74
362585,ETF,3032,96
362589,ETF,3031,118
362593,ETF,3030,140
362597,ETF,3029,23
363879,ETF,3027,52
366735,ETF,3028,52
368165,ETF,3035,52
368173,ETF,3036,74
368181,ETF,3037,96
368189,ETF,3038,118
370565,ETF,3052,52
371523,ETF,3049,52
372960,ETF,3033,52
372968,ETF,3032,74
373952,ETF,3037,52
373960,ETF,3038,74
373968,ETF,3039,96
373976,ETF,3039,118
373984,ETF,3039,14
